ENTRYTYPE,ID,abstract,address,author,booktitle,doi,edition,editor,isbn,issn,journal,keywords,number,pages,publisher,title,url,volume,year,note,series
article,OZMUTLU2021100833,"Although there are different definitions for computational thinking in the literature, it is possible to define it mainly as problem solving, designing and interpreting new systems by thinking like a computer. According to Wing (2006), computational thinking is a way of designing a system and understanding human behaviors by focusing on the basic concepts of the computer sciences. The recent focus on computational thinking as a key 21 st century skill for all students has led to a number of curriculum initiatives to embed it in K-12 classrooms and to introduce computing ideas to students early during their schooling years. The present study aims to explore the effects of a short, intensive coding and robotics training on the computational thinking skill self-efficacy of middle school students. 24 fifth graders participated in the study and data were collected by means of the Computational Thinking Self-efficacy scale (CTS) and one open-ended question. Analyses of the pre, post and delayed tests revealed significant differences between the pre and post-tests.",,Meltem Özmutlu and Derin Atay and Barış Erdoğan,,https://doi.org/10.1016/j.tsc.2021.100833,,,,1871-1871,Thinking Skills and Creativity,"Computational thinking, Algorithm, Programming",,100833,,Collaboration and engagement based coding training to enhance children’s computational thinking self-efficacy,https://www.sciencedirect.com/science/article/pii/S1871187121000481,40.0,2021,,
article,KOREN2023101240,"Methodological innovations across social sciences are opening new avenues for conducting research designed to address real-world challenges. The benefits of utilizing the Design-Based Implementation Research (DBIR) approach in public libraries to resolve a persistent problem of practice, a lack of assessment tools to evaluate youth Computational Thinking (CT) programs, is demonstrated. Findings from a three-year, three-phased study utilizing the DBIR approach to design and implement a suite of assessment tools to assess CT programming in public libraries are presented. Guided by the four principles of the DBIR approach, this research produced new knowledge, including identifying CT program outcomes, challenges, and recommendations for designing and implementing assessment tools to measure the impact of public libraries' CT programming. Findings underscore the DBIR approach as a strategy for engaging with practitioners and helping shift their perspectives by resolving practice problems and facilitating the design of sustainable solutions.",,Nitzan Koren and David Weintrop and Mega Subramaniam,,https://doi.org/10.1016/j.lisr.2023.101240,,,,0740-8188,Library & Information Science Research,"Design-based implementation research, Assessment, Computational thinking, Public libraries, Methods paper",2.0,101240,,Using design-based implementation research approach to create computational thinking assessment tools for youth programs in public libraries,https://www.sciencedirect.com/science/article/pii/S0740818823000166,45.0,2023,,
article,CHEN2024101995,"Although there is controversy surrounding rewards and competition in education, they are key elements in digital game-based learning (DGBL). Research on the influence of rewards and competition in DGBL often yields mixed results, suggesting a need to investigate individual game elements and their interactions. This study implemented DGBL focusing on computational thinking (CT) in 7th-grade classes. Both quantitative and behavioral data were collected to understand the impact of rewards (power-up or customization) and competition (with or without) on students’ intrinsic motivation, game performance, behaviors, and CT skills. The findings uncovered significant interactions between rewards and competition. Students with both competition and power-up rewards achieved the highest game points but the lowest CT performance, whereas those exposed to the same power-up rewards without competition attained the lowest game points but the best CT performance. Implications are drawn for DGBL research and practice.",,Ching-Huei Chen and Kun Huang,,https://doi.org/10.1016/j.learninstruc.2024.101995,,,,0959-4752,Learning and Instruction,"Game-based learning, Rewards, Competition, Computational thinking",,101995,,"The interplay of rewards and competition in digital game-based learning: Effects on intrinsic motivation, game performance and behaviors, and computational thinking",https://www.sciencedirect.com/science/article/pii/S0959475224001221,94.0,2024,,
article,NA2024100650,"Despite growing interest in early childhood computational thinking (CT), there is a lack of validated assessments for children who are emerging readers. This paper presents validity and reliability evidence of a performance-based assessment of CT using item response theory (IRT) from 272 children aged 4–8. Using a two-parameter logistic model IRT model (2PL IRT), we confirmed that model- and item-level fits are acceptable. Item analyses revealed a high discriminability (M = 2.26, SD = 1.12) and a moderate item difficulty (M = −0.21; SD = 0.86), on average, across 19 items. Reliability analysis demonstrated that the assessment was substantially reliable (marginal reliability: rxx = 0.87). Differential item functioning (DIF) analyses indicated that the assessment estimated children's item parameters fairly, regardless of their gender and age. However, we confirmed gaps in latent ability (θ) of CT by gender and age: boys showed higher latent ability of CT than girls, and old children (above 72 months) showed higher latent ability than young children (below 72 months). Findings suggest the assessment is a fair measure that can serve as a reliable and valid tool to assess CT for children who are emerging readers.",,Chungsoo Na and Jody Clarke-Midura and Jessica Shumway and Wilhelmina {van Dijk} and Victor R. Lee,,https://doi.org/10.1016/j.ijcci.2024.100650,,,,2212-8689,International Journal of Child-Computer Interaction,", , , , ",,100650,,Validating a performance assessment of computational thinking for early childhood using item response theory,https://www.sciencedirect.com/science/article/pii/S2212868924000187,40.0,2024,,
article,XU2022101041,"Computational thinking (CT) is an important and essential skill for human beings to master in the 21st century. Although CT has received wide attention since this concept was proposed, the current theoretical models have not well defined the complex relations between CT and other cognitive abilities for young children. To provide insight into this gap, the current study proposed a model in which we hypothesized that CT was significantly related to arithmetic fluency that is viewed as an important domain of mathematics. Additionally, arithmetic fluency was predicted to mediate the relations of CT to other cognitive abilities, including reasoning and creativity. This study tested such direct and indirect relations in children aged 5–6 years. Consistent with previous studies on older age groups, the results showed that CT and arithmetic fluency were significantly related to each other and both were significantly related to reasoning ability and creative thinking as well. Moreover, this study, for the first time, indicated that arithmetic fluency totally mediated the relation between CT and reasoning ability, suggesting that these concepts share conceptual commonalities, such as the cognitive processes related to mathematics or/and abstraction; in contrast, arithmetic fluency did not mediate the relation between CT and creative thinking, suggesting that gaining CT skill may exert direct positive effect on the development of creativity. Therefore, despite the root in computer science, CT is associated with many cognitive and learning abilities in other domains, supporting the importance of including CT into early school education.",,Weiqi Xu and Fengji Geng and Lin Wang,,https://doi.org/10.1016/j.tsc.2022.101041,,,,1871-1871,Thinking Skills and Creativity,"Computational thinking, Arithmetic fluency, Reasoning ability, Creative thinking, Mediation effect",,101041,,Relations of computational thinking to reasoning ability and creative thinking in young children: Mediating role of arithmetic fluency,https://www.sciencedirect.com/science/article/pii/S187118712200044X,44.0,2022,,
article,ROWE2021106707,"There has been growing interest in assessing computational thinking (CT) across diverse learners beyond the traditional forms of tests and assignments. Learning games offer the potential for innovative, stealth assessments of students' implicit learning from gameplay behaviors. This paper reports on the measurement of implicit CT practices demonstrated by upper elementary- and middle-school students as they play the CT learning game Zoombinis. The process of using the gameplay log data to build valid automated detectors of students' implicit CT practices is discussed. Findings from this study provide implications for analyzing gameplay behaviors at scale, leading to the development of models for the assessment of implicit STEM learning.",,Elizabeth Rowe and Ma Victoria Almeda and Jodi Asbell-Clarke and Richard Scruggs and Ryan Baker and Erin Bardar and Santiago Gasca,,https://doi.org/10.1016/j.chb.2021.106707,,,,0747-5632,Computers in Human Behavior,"Implicit learning, Computational thinking, Learning games, Classification algorithms",,106707,,Assessing implicit computational thinking in Zoombinis puzzle gameplay,https://www.sciencedirect.com/science/article/pii/S0747563221000297,120.0,2021,,
article,KONG2023104707,"Computational thinking (CT) education in K-12 requires extensive teacher development. This research investigates the effectiveness of a scalable and sustainable teacher development programme in promoting CT in primary education. This report presents two studies. Study 1 reports on the effectiveness of two 12-h courses using Scratch and App Inventor programming environments for CT development of teachers respectively, which involved 245 teachers from 47 primary schools. With teaching practices embedded, the programme, which used the framework of technological pedagogical content knowledge (TPACK), significantly enhanced teachers' content-related knowledge dimensions. The results indicate that the programme helped teachers develop advanced CT concepts such as data structures and procedures. Study 2, using thematic analysis, reports on CT strategies implemented in 47 schools through 94 school visits. The most mentioned strategies were the formation of teaching teams, lesson co-planning, and the integration of CT with subject teaching. The most mentioned challenges were teacher readiness, lesson time, and diversity – learners' abilities, interests, and approaches. Four types of support, including teacher development support, continuous and communal support, teaching materials support, and financial support were identified. The results suggest that a course-based programme with mixed programming environments and embedded teaching experience effectively develops teachers’ capabilities. However, continuous support for teachers in implementing the initiative after completing the programme is important, especially in addressing learner diversity and integrating CT with subject teaching.",,Siu-Cheung Kong and Ming Lai and Yugen Li,,https://doi.org/10.1016/j.compedu.2022.104707,,,,0360-1315,Computers & Education,"Computational thinking, Primary schools, Scaling up, School visits, Teacher development",,104707,,"Scaling up a teacher development programme for sustainable computational thinking education: TPACK surveys, concept tests and primary school visits",https://www.sciencedirect.com/science/article/pii/S0360131522002780,194.0,2023,,
article,KITE2022103904,"Computational thinking (CT) is critical for Twenty-first century life. Ensuring equitable access to CT depends on preparing teachers to integrate CT into disciplinary curricula. We report on the design, evaluation, and outcomes of the Computational Thinking Unplugged for Science (CT-UP-S) professional development program for inservice science teachers. Our process-based approach to CT significantly improved teachers CT understanding and CT/science integration self-efficacy by systematically linking CT practices to scaffold the generation of unplugged algorithms. Additionally, we found that the process-based approach provided a framework for teachers' lesson planning and that teachers’ content knowledge moderated their ability to write CT-integrated science lessons.",,Vance Kite and Soonhye Park,,https://doi.org/10.1016/j.tate.2022.103904,,,,0742-051X,Teaching and Teacher Education,"Computational thinking, Computational thinking integration, Process-based computational thinking, Science education, Teacher professional development, Unplugged",,103904,,Preparing inservice science teachers to bring unplugged computational thinking to their students,https://www.sciencedirect.com/science/article/pii/S0742051X22002797,120.0,2022,,
article,BERSON202357,"Early evidence suggests that robot programming offers an important foundation for spatial reasoning and computational thinking; however, researchers have debated how to introduce young children to these skills. We explored how preschoolers develop understanding of spatial concepts and computational thinking as the children took turns navigating a path during guided play with a programmable robot. Our analysis of the data included a multimodal visualization of the exchanges between the teacher, children, and a programmable robotic device. The findings highlight the effects that arose from the physical-digital convergence of technology integrated into play including: (a) the robot evoked a chain of actions, enacting pedagogic forces that transformed children's learning; (b) children used their own bodies as spatial referents, co-locating themselves in space with the robot; (c) the teacher remained a key actor, providing verbal and nonverbal scaffolding to promote children's understanding and mastery of spatial and computational concepts; and (d) talking with the teacher about spatial concepts combined with the interactions with the robot enhanced children's acquisition of spatial ideas relative to the quantity of children's verbal expressions and complexity of their applied spatial skills and computational thinking.",,Ilene R. Berson and Michael J. Berson and Candice McKinnon and Deeksha Aradhya and May Alyaeesh and Wenwei Luo and Ben Rydal Shapiro,,https://doi.org/10.1016/j.ecresq.2023.05.015,,,,0885-2006,Early Childhood Research Quarterly,"Spatial reasoning, Computational thinking, Robot programming, Preschool, Guided play, Socio-material approach",,57-67,,An exploration of robot programming as a foundation for spatial reasoning and computational thinking in preschoolers’ guided play,https://www.sciencedirect.com/science/article/pii/S0885200623000777,65.0,2023,,
article,ANGELI2022100329,"Workers in the areas of science, technology, engineering and mathematics play a significant role in the sustained growth and stability of the global economy, and, thus constitute a critical component in helping all countries worldwide to prosper. In this context, computational thinking constitutes an important skill to have as it enables workers to develop creative solutions to complex problems. Nonetheless, across all economies worldwide, there is a need to have more workers who are able to think through problems, challenges, and solutions in computational terms. It is thus of utmost importance to integrate the teaching of computational thinking in K-12 education in order to reduce the skills gap between education and the workplace. A pertinent and crucial question that arises is whether teachers have the knowledge and skills to teach students how to think computationally. Existing research shows that teacher education departments do not currently have the knowledge to promote computational thinking in their programs. The present study focuses on two aspects of computational thinking, such as, algorithmic thinking and debugging skills with the use of scaffolded programming scripts in an educational technology undergraduate course. The results show statistically significant learning gains in pre-service teachers’ algorithmic thinking and debugging skills in the context of robotic programming activities with LEGO WeDo. Limitations and future research directions are discussed.",,Charoula Angeli,,https://doi.org/10.1016/j.ijcci.2021.100329,,,,2212-8689,International Journal of Child-Computer Interaction,"Computational thinking, Algorithmic thinking, Debugging, Robotic activities, Pre-service education, Scaffolded programming scripts, LEGO WeDo",,100329,,The effects of scaffolded programming scripts on pre-service teachers’ computational thinking: Developing algorithmic thinking through programming robots,https://www.sciencedirect.com/science/article/pii/S2212868921000519,31.0,2022,,
