ENTRYTYPE,ID,abstract,annote,archiveprefix,arxivid,author,doi,editor,eprint,issn,journal,keywords,number,pages,pmid,publisher,title,url,volume,year
article,doi:10.1080/10899995.2024.2351028,"The geological sciences, technology, engineering, and mathematics (geo-STEM) have the capacity to investigate and address geological and environmental challenges. Many of these challenges (e.g., pollution, flooding, and slope failure) unjustly impact lower socio-economic communities in urban and rural settings where there is limited access to geo-STEM expertise. Geo-STEM learning ecosystems (GLEs) integrate geo-STEM and social science research paradigms to broaden civic engagement in the geosciences. GLEs are communities of practice consisting of geo-STEM professionals, educators, and learners who address local issues through place-based STEM research and education. The purpose of this study was to connect the concept of GLEs with the extant literature on learning ecosystems. We conducted a thematic review of the literature evaluating how the term “learning ecosystem” is used in psychology, educational technology, and STEM education research. We categorized the learning ecosystem components described in the literature in terms of inputs (e.g., motivation, software, learning environment), processes (e.g., cognition, device development, curriculum), and outputs (e.g., creativity, innovation, engagement). This approach revealed themes aligned with GLE-relevant research on communities of practice, and place-based and problem-based education, connecting GLEs to a century of existing research. To demonstrate how to use a GLE framework, we analyze the attributes of three existing programs through the GLE lens. Based on our findings, we recommend that to build GLEs geo-STEM researchers should: engage in transdisciplinary collaborations to develop local geo-STEM solutions, use the GLE framework to assess geoscience education and outreach programs, evaluate the role of place in efforts to engage diverse communities, and leverage other fields of inquiry to broaden our theoretical understanding of GLEs.",,,,"Manning, Cheryl L.B. and LaDue, N. D.",10.1080/10899995.2024.2351028,,,21581428,Journal of Geoscience Education,"community of practice,geo-STEM learning ecosystem,place-based learning,transdisciplinary",0,1--15,,Routledge,{Geo-STEM learning ecosystems: A transdisciplinary theory-based framework to establish and engage communities in the geosciences},https://doi.org/10.1080/10899995.2024.2351028,0,2024
article,doi:10.1080/00461520.2014.1002924,"Engagement is one of the hottest research topics in the field of educational psychology. Research shows that multifarious benefits occur when students are engaged in their own learning, including increased motivation and achievement. However, there is little agreement on a concrete definition and effective measurement of engagement. This special issue serves to discuss and work toward addressing conceptual and instrumentation issues related to engagement, with particular interest in engagement in the domain of science learning. We start by describing the dimensional perspective of engagement (behavioral, cognitive, emotional, agentic) and suggest a complementary approach that places engagement instrumentation on a continuum. Specifically, we recommend that instrumentation be considered on a “grain-size” continuum that ranges from a person-centered to a context-centered orientation to clarify measurement issues. We then provide a synopsis of the articles included in this special issue and conclude with suggestions for future research.",,,,"Sinatra, Gale M. and Heddy, Benjamin C. and Lombardi, Doug",10.1080/00461520.2014.1002924,,,00461520,Educational Psychologist,,1,1--13,,Routledge,{The Challenges of Defining and Measuring Student Engagement in Science},https://doi.org/10.1080/00461520.2014.1002924,50,2015
article,doi:10.1080/17512786.2024.2404692,"Journalists often perceive that automated journalism produces news texts that lack narrative and editorial quality. Therefore, they sometimes manually edit automated output before publication, creating so-called “post-edited” variants. Using an exploratory sequential mixed-methods design, this study aims to advance research on automated journalism by investigating the steps journalists say they take when post-editing and testing whether—and if so, how—these steps are reflected systematically on a larger scale in post-edited news texts. First, journalists' statements about the post-editing process were gathered in semi-structured interviews. Then, qualitative content analysis of automated news stories and their post-edited offspring examined whether post-edited stories contain evidence of forms of editing not mentioned by the journalists. Second, the qualitative findings were investigated quantitatively using comparative content analysis (N = 282). The qualitative findings suggest that a range of editorial steps may be taken during post-editing. The quantitative analysis shows that some of these steps are reflected systematically in post-editing, resulting in significant differences between automated news stories and their post-edited offspring. However, findings also show differences between journalists' reports and post-editing practice on a larger scale, including evidence that forms of editing were taking place that were not mentioned in the interviews.",,,,"Th{\""{a}}sler-Kordonouri, Sina",10.1080/17512786.2024.2404692,,,17512794,Journalism Practice,"AI journalism,Automated journalism,data-driven journalism,mixed-methods,post-editing,qualitative content analysis,quantitative content analysis,semi-structured interviews",0,1--20,,Routledge,{What Comes After the Algorithm? An Investigation of Journalists' Post-editing of Automated News Text},https://www.tandfonline.com/doi/abs/10.1080/17512786.2024.2404692,0,2024
article,doi:10.1080/02635143.2019.1647158,"Background: In response to reform recommendations calling for students' engagement in scientific practices and the lack of the enactment of such practices in science classrooms, we explored the implementation of scientific practices with special emphasis on model-based inquiry in a secondary science teacher preparation program. Sample: The participants of this study were 26 preservice secondary teachers who engaged in a specially designed sequence that emphasized scientific practices. Purpose: Our aim in this study was to examine the impact of this specially-designed sequence on the participants' views about the usefulness of scientific practices as a pedagogical approach, their intentions in implementing scientific practices as future teachers, and the nature of the emotions they experienced throughout their engagement in the sequence. Design and methods: Data were collected through a questionnaire, which the participants completed following their participation in the sequence. Results: The statistical analysis of the data showed that the majority of the participants: (a) perceived that they developed adequate understandings about scientific practices; (b) stated that they would implement scientific practices in their future teaching practices; and, (c) experienced positive emotions throughout their engagement in the sequence. Conclusion: These findings are discussed alongside implications for teacher preparation and future research in the area of scientific practices and emotions.",,,,"Jimenez-Liso, Maria Rut and Martinez-Chico, Mar{\'{i}}a and Avraamidou, Lucy and {L{\'{o}}pez-Gay Lucio-Villegas}, Rafael",10.1080/02635143.2019.1647158,,,14701138,Research in Science and Technological Education,"Scientific practices,emotions,models & modelling,teacher education",1,44--67,,Routledge,"{Scientific practices in teacher education: the interplay of sense, sensors, and emotions}",https://doi.org/10.1080/02635143.2019.1647158,39,2021
article,doi:10.1080/1046560X.2017.1389223,"We studied how the practices of modeling supported preservice teachers (PSTs) as a reflection tool for knowledge integration in their science methods courses. In this exploratory study, elementary (n = 4) and middle/secondary (n = 7) PSTs drew models of the process of teaching and learning, including what occurred before, during, and after teaching. Data sources included initial and final models, explanations of initial and final models, and pre- and post-interviews. We used the knowledge integration framework to explore how the PSTs' models of the process of teaching and learning changed over time and how the PSTs perceived the value of modeling the process of teaching and learning. Results indicated that developing models supported the elementary PSTs in integrating lesson planning into their conceptions of teaching, as the planning process was previously an invisible component of teaching. Among the middle/ secondary PSTs, we found that modeling supported them in integrating previously disconnected ideas into purposely linked ideas about teaching and learning as well as linking their own reflections about their teaching practice to classroom-based evidence. Finally, across the elementary and middle/secondary PSTs, we found that in drawing final models and comparing them to their initial models, they were able to identify weaknesses in their initial models and saw their individual growth in teacher knowledge during the semester. Overall, the PSTs valued the modeling activity and saw their models as a reflection tool that helped them make sense of their methods course-work. Implications for teacher educators are given.",,,,"Zangori, Laura and Friedrichsen, Patricia J. and Wulff, Eric and Womack, Andrew J.",10.1080/1046560X.2017.1389223,,,15731847,Journal of Science Teacher Education,"Modeling,Pedagogical knowledge,Preservice teachers,Reflection",7,590--608,,Routledge,{Using the practice of modeling to support preservice teachers' reflection on the process of teaching and learning},https://doi.org/10.1080/1046560X.2017.1389223,28,2017
article,doi:10.1080/0144929X.2021.1984580,"The purpose of this study is to determine the effect of LEGO-based educational applications on students' academic motivation, reflective thinking skill towards problem solving, spatial visualisation, and mental rotation comparatively. This study adopts a quasi-experimental research design with a control group. We recruited a total of twenty-six sixth graders from a private school. The data collection instruments were Reflective Thinking Skill Scale towards Problem Solving, Academic Motivation Scale, Spatial Visualisation Scale, and Mental Rotation Scale. The experimental process lasted for four weeks. LEGO-based teaching aids were employed in the experimental group, whereas Scratch-based educational applications were used in the control group. Based on the findings, there was an increase in the reflective thinking skill towards problem solving as well as mental rotation and spatial visualisation skills of the students in both groups. However, it has been found that the mean scores of reflective thinking skill towards problem solving and spatial visualisation skills of the experimental group students are higher than those of the control group. We conclude that LEGO-based educational applications have a more positive impact on the development of reflective thinking skill towards problem solving and spatial visualisation skill compared with Scratch-based educational applications. According to our findings, we discuss limitations and provide recommendations for researchers and practitioners.",,,,"Koca, Sevde and {\c{C}}akir, Recep",10.1080/0144929X.2021.1984580,,,13623001,Behaviour and Information Technology,"LEGO-based educational apps,academic motivation,coding and robotics,mental rotation,reflective thinking skill,spatial visualisation",15,3329--3345,,Taylor & Francis,{Effect of educational robotic applications on students' cognitive outcomes},https://doi.org/10.1080/0144929X.2021.1984580,41,2022
article,doi:10.1080/1369118X.2016.1181195,"This paper outlines the notion of ‘algorithmic technique' as a middle ground between concrete, implemented algorithms and the broader study and theorization of software. Algorithmic techniques specify principles and methods for doing things in the medium of software and they thus constitute units of knowledge and expertise in the domain of software making. I suggest that algorithmic techniques are a suitable object of study for the humanities and social science since they capture the central technical principles behind actual software, but can generally be described in accessible language. To make my case, I focus on the field of information ordering and, first, discuss the wider historical trajectory of formal or ‘mechanical' reasoning applied to matters of commerce and government before, second, moving to the investigation of a particular algorithmic technique, the Bayes classifier. This technique is explicated through a reading of the original work of M. E. Maron in the early 1960 and presented as a means to subject empirical, ‘datafied' reality to an interested reading that confers meaning to each variable in relation to an operational goal. After a discussion of the Bayes classifier in relation to the question of power, the paper concludes by coming back to its initial motive and argues for increased attention to algorithmic techniques in the study of software.",,,,"Rieder, Bernhard",10.1080/1369118X.2016.1181195,,,14684462,Information Communication and Society,"Algorithmic techniques,Bayes classifier,power relations,statistics",1,100--117,,Routledge,{Scrutinizing an algorithmic technique: the Bayes classifier as interested reading of reality},https://doi.org/10.1080/1369118X.2016.1181195,20,2017
article,doi:10.1080/1554480X.2020.1870469,"The beginning of primary education is an important time to form a good basis for students to develop their digital competence. However, the use of digital technologies is seldom a part of everyday schoolwork during the first years of primary school education. Furthermore, instruction on digital competence is often loosely connected to the students' own ideas. Since there is obviously a need to investigate student-initiated involvement, this case study examined six to seven-year-old children's views and ideas of using digital technology in school lessons through drawings and interviews. The results show that some of the students did not share the idea of using digital technology in their school lessons but most of the students did. In particular, the students expected digital devices to be used for learning, not for entertainment. Furthermore, their ideas reflected teacher-centred and student-centred approaches to learning digital competence. The study demonstrates that young students' drawings and interviews reflect a range of important aspects in respect to teaching and learning digital competence.",,,,"P{\""{o}}ntinen, Susanna and R{\""{a}}ty-Z{\'{a}}borszky, Sinikka",10.1080/1554480X.2020.1870469,,,15544818,Pedagogies,"Early years education,children's drawings,educational technology,teaching and learning digital competence",3,227--250,,Routledge,{Student-initiated aspects as starting points for teaching digital competence in the early years of primary education},https://doi.org/10.1080/1554480X.2020.1870469,17,2022
article,doi:10.1080/17512786.2018.1463167,"This paper explores data journalism education, with a particular focus on formal training in the higher education sector globally. The study draws on data from: (1) the 2017 Global Data Journalism Survey, to study the state of data journalism education and the requirements in terms of training and (2) a dataset of 219 unique modules or programmes on data journalism or related fields that were curated and examined in order to understand the nature of data journalism education in universities across the world. The results show that while journalists interested in data are highly educated in journalism or closely related fields, they do not have a strong level of education in the more technical areas of data journalism, such as data analysis, coding and data visualisation. The study further reveals that a high proportion of data journalism courses are concentrated in the United States, with a growing number of courses developing across the world, and particularly in Europe. Despite this, education in the field does not have a strong academic underpinning, and while many courses are emerging in this area, there are not enough academically trained instructors to lead and/or teach such interdisciplinary programmes in the higher education sector.",,,,"Heravi, Bahareh R.",10.1080/17512786.2018.1463167,,,17512794,Journalism Practice,"Data journalism,computational journalism,data journalism education,data-driven journalism,journalism education,journalism tools",3,349--366,,Routledge,"{3Ws of Data Journalism Education: What, where and who?}",https://doi.org/10.1080/17512786.2018.1463167,13,2019
article,doi:10.1080/09500693.2016.1186853,"Although curiosity is considered an integral aspect of science learning, researchers have debated how to define, measure, and support its development in individuals. Prior measures of curiosity include questionnaire type scales (primarily for adults) and behavioral measures. To address the need to measure scientific curiosity, the Science Curiosity in Learning Environments (SCILE) scale was created and validated as a 12-item scale to measure scientific curiosity in youth. The scale was developed through (a) adapting the language of the Curiosity and Exploration Inventory-II [Kashdan, T. B., Gallagher, M. W., Silvia, P. J., Winterstein, B. P., Breen, W. E., Terhar, D., & Steger, M. F. (2009). The curiosity and exploration inventory-II: Development, factor structure, and psychometrics. Journal of Research in Personality, 43(6), 987–998] for youth and (b) crafting new items based on scientific practices drawn from U.S. science standards documents. We administered a preliminary set of 30 items to 663 youth ages 8–18 in the U.S.A. Exploratory and confirmatory factor analysis resulted in a three-factor model: stretching, embracing, and science practices. The findings indicate that the SCILE scale is a valid measure of youth's scientific curiosity for boys and girls as well as elementary, middle school, and high school learners.",,,,"Weible, Jennifer L. and Zimmerman, Heather Toomey",10.1080/09500693.2016.1186853,,,14645289,International Journal of Science Education,"Attitudinal scale,curiosity,emotions in learning,exploratory factor analysis,science practices,scientific attitudes,youth",8,1235--1255,,Routledge,"{Science curiosity in learning environments: developing an attitudinal scale for research in schools, homes, museums, and the community}",https://doi.org/10.1080/09500693.2016.1186853,38,2016
