"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Use of Augmented Reality for Computational Thinking Stimulation through Virtual","A. M. d. S. Esteves; A. L. M. Santana; R. Lyra","Universidade do Vale do Itajaí, Itajai, Brazil; Universidade Anhembi Morumbi, Sao Paulo, Brazil; Universidade do Vale do Itajaí - UNIVALI, Itajaí, Brazil",2019 21st Symposium on Virtual and Augmented Reality (SVR),"5 Dec 2019","2019","","","102","106","Studies with augmented reality show that while the technology helps the student learn, it may end up disturbing other points, showing that more research is needed with the use of augmented reality. Also, a topic that is growing within education is Computational Thinking, which says that the thinking like computer scientists is necessary for the 21st century and should be disseminated mainly in schools during basic education. In the face of this, this work created an augmented reality android application that tracks physical tiles and creates 3D maps for the user, also giving a character that can be programmed to walk on this created map, simulating a programming toy. Finally, tests carried out with the application have shown that augmented reality currently has performance problems when multiple targets are used, so, devices with low processing have problems at map tracking. These issues affected the tests with the children, which made it difficult for them to track the map like they wanted, but they still liked the app even after it. That shows that the acceptance of the technology by the children is good, which can help developing Computational Thinking, but the technology limitation is still a problem. These obstacles while currently hindering the use of augmented reality in education may in the future be irrelevant due to the constant advancement of technology. This paper's main contribution is showing one possibility of using AR with Computational Thinking and what needs to evolve for it to be used by the usable by the children.","","978-1-7281-5434-3","10.1109/SVR.2019.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8921049","Computational Thinking;Augmented Reality;Technology in Education","Augmented reality;Education;Target tracking;Programming profession;Rendering (computer graphics);Androids","","5","","10","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"Computational Thinking & Practical Thinking Inspired Java Web Curriculum Reform Method","F. Yu; H. Wang","School of Information Science and Engineering, Shandong Normal University; School of Information Science and Engineering, Shandong Normal University",2019 10th International Conference on Information Technology in Medicine and Education (ITME),"23 Jan 2020","2019","","","312","316","Both Computational thinking and Practical thinking are important concepts of great concern to the international computer community. They are also hot topics needed to be studied in education. Inspired by these two kinds of thinking, we expound how to better carry out teaching practice. The teaching process is task-oriented, teacher-led and student-centered. In the whole teaching process, teachers use the way of integrating computational thinking with practical thinking to prepare courses, design tasks and guide students to complete learning tasks. Compared with the traditional teaching mode, the teaching mode of integrating computational thinking and practical thinking has made great progress in training students' computer practical ability and innovation ability. It can not only improve learning efficiency, but also train students' computer practical ability. Finally, the feasibility and efficiency of this method are verified by Java Web course design.","2474-3828","978-1-7281-3918-0","10.1109/ITME.2019.00078","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8964889","Computational Thinking;Practical Thinking;Java Web","Java;Task analysis;Programming;Software;Training;Information technology","","3","","10","IEEE","23 Jan 2020","","","IEEE","IEEE Conferences"
"Complex Problem Solving as a Construct of Inquiry, Computational Thinking and Mathematical Problem Solving","M. Pedaste; T. Palts; K. Kori; M. Sõrmus; Ä. Leijen","Institute of Education, University of Tartu, Tartu, Estonia; Institute of Education, University of Tartu, Tartu, Estonia; Institute of Computer Science, University of Tartu, Tartu, Estonia; Institute of Education, University of Tartu, Tartu, Estonia; Institute of Education, University of Tartu, Tartu, Estonia",2019 IEEE 19th International Conference on Advanced Learning Technologies (ICALT),"2 Sep 2019","2019","2161-377X","","227","231","Complex problem solving is one of the key skills for future jobs, but it has not been clearly operationalized. We hypothesized that it is a construct of inquiry, computational thinking, and mathematical problem solving. The hypothesis was empirically tested by administering tests to 261 high school students for assessing three inquiry skills, two dimensions of computational thinking and five mathematical problem solving skills. Confirmatory factor analysis showed a three factor model of inquiry skills and two factor model of computational thinking skills to have a good fit. Mathematical problem solving skills were characterized with a two factor model. These factors were combined in a higher-order factor model into one construct that could be defined as a complex problem solving skill.","2161-377X","978-1-7281-3485-7","10.1109/ICALT.2019.00071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8820852","problem solving;inquiry-based learning;computational thinking;mathematical problem solving;theory building","Problem-solving;Pattern recognition","","3","","17","IEEE","2 Sep 2019","","","IEEE","IEEE Conferences"
"Computational thinking in school education in South America: Systematic review of the literature","R. P. Curasma; H. Paucar Curasma","Fac. Ingeniería Electrónica y Eléctrica, Universidad Nacional Mayor de San Marcos, Lima, Perú; Fac. Ingeniería de Sistemas e Informática, Universidad Nacional Mayor de San Marcos, Lima, Perú","2020 IEEE XXVII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)","12 Oct 2020","2020","","","1","4","This article is intended to present a systematic review of the development of computational thinking in the regular basic education of South American countries. For this study, the following topics were investigated: Educational studies and policies, methodologies designed for the teaching of computational thinking, languages, and tools used and the techniques or methods for assessment of computational thinking in the regular basic education.","","978-1-7281-9377-9","10.1109/INTERCON50315.2020.9220200","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9220200","computational thinking;South America;methodology;regular basic education","Education;Systematics;Tools;Programming profession;Computed tomography;Analytical models;Robots","","2","","28","IEEE","12 Oct 2020","","","IEEE","IEEE Conferences"
"Teaching mode reform and exploration on the University Computer Basic based on Computational thinking training in Network Environment","Boqin Liu; Junmei He","Faculty of Computer and Information Science, Southwest University, Chongqing, China; Faculty of Computer and Information Science, Southwest University, Chongqing, China",2014 9th International Conference on Computer Science & Education,"16 Oct 2014","2014","","","59","62","Due to the international and domestic education and computer industries and so on computational thinking attaches great importance and has done considerable exploratory research, our school also reform and exploration teaching mode on the University Computer Basic based on Computational thinking training in network environment, and the use of based on Computational thinking Autonomous learning mode in the Network Environment in the actual teaching, strengthen the learners understanding of computer science, corrected the computing disciplines equivalent to the idea of computer programming, enhance the connotation and science significance of computer disciplines, to overcome the computer means “narrow tool” argument,and achieved good teaching results.","","978-1-4799-2951-1","10.1109/ICCSE.2014.6926430","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6926430","Computational thinking;The Network teaching auxiliary platform;Autonomous learning mode","Educational institutions;Microcomputers;Computational modeling;Indexes;HTML","","1","","8","IEEE","16 Oct 2014","","","IEEE","IEEE Conferences"
"The Research of Programming Teaching in Primary School on the Cultivation of Computational Thinking","Y. Wang; Y. Zhang; A. Mao; J. Wang; N. Li","School of Educational Information Technology, Central China Normal University, Wuhan, China; School of Educational Information Technology, Central China Normal University, Wuhan, China; Primary School Affiliated to University of Science and Technology, Wuhan, China; Teacher Education College, Huzhou University, Huzhou, China; School of Educational Information Technology, Central China Normal University, Wuhan, China",2020 Ninth International Conference of Educational Innovation through Technology (EITT),"19 Jan 2021","2020","","","250","255","With the development of digital technologies, teaching computational thinking and relative skills in the K-12 curriculum can benefit students in thinking and create in the digital area. This study designed a programming course to help students develop computational thinking and relative skills, and conducted a practice in a primary school. Results indicated that students were benefited from three stages of the teaching process. Students' computational thinking knowledge, programming knowledge and skills, and problem-solving were developed after the learning of a semester. The programming works of the students also revealed that there was a tendency in the development of creativity.","2166-0549","978-1-7281-9171-3","10.1109/EITT50754.2020.00051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9320732","computational thinking;programming course design;K-12 curriculum","Programming profession;Problem-solving;Testing;Media;Debugging;Visualization;Task analysis","","1","","11","IEEE","19 Jan 2021","","","IEEE","IEEE Conferences"
"Computational Thinking and Block-Based Programming for Beginning Engineering Students: Systematic Review of the Literature","R. P. Curasma; K. O. Villalba-Condori; N. J. Jara; R. Q. Llamoca; J. C. C. Chávez; M. D. P. Ponce-Aranibar","Carrera Profesional de Ingeniería Industrial, Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo, Pampas, Perú; Vicerrectorado de Investigación, Universidad Continental, Arequipa, Perú; Escuela Profesional de Ingeniería Electrónica, Universidad Nacional Mayor de San Marcos, Lima, Perú; Carrera Profesional de Econocomía, Universidad de Lima, Lima, Perú; Facultad de Ingeniería Ambiental, Universidad Nacional de Ingeniería, Lima, Perú; Escuela Profesional de Publicidad y Multimedia, Universidad Católica de Santa María, Arequipa, Perú",2021 XVI Latin American Conference on Learning Technologies (LACLO),"8 Mar 2022","2021","","","530","533","In the article, the authors conduct a systematic review of computational thinking in higher education. For this review, the following research topics were taken into account: computational thinking skills in higher education, programming teaching methods in beginning engineering students, and block-based programming tools in higher education.","","978-1-6654-2358-8","10.1109/LACLO54177.2021.00096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725163","computational thinking;higher education;block programming;engineering students","Systematics;Education;Engineering students;Programming profession","","1","","0","IEEE","8 Mar 2022","","","IEEE","IEEE Conferences"
"Teaching Computational Thinking and Introduction to Programming through Robotics amid the Covid19 Pandemic - An Experience Report","A. Scaico; W. P. Ferreira; E. M. Alves; P. D. Scaico","Departamento de Ciências Exatas, Universidade Federal da Paraíba, Rio Tinto, Brasil; Departamento de Ciências Exatas, Universidade Federal da Paraíba, Rio Tinto, Brasil; Departamento de Ciências Exatas, Universidade Federal da Paraíba, Rio Tinto, Brasil; Departamento de Ciências Exatas, Universidade Federal da Paraíba, Rio Tinto, Brasil",2021 XVI Latin American Conference on Learning Technologies (LACLO),"8 Mar 2022","2021","","","32","37","Nowadays, the skills present in computer programming are important in several fields of work. Computational thinking, the ability to create algorithms for solving problems and logical reasoning are some of the skills developed when someone learn to program. This paper presents an experience report of an extension project that aimed to teach computational thinking and introduction to programming with robotics support for children at school in person, but which had to be adapted for remote learning due to the COVID-19 pandemic. The original planning, adaptations for remote learning, and the application and evaluation of the course will be reported.","","978-1-6654-2358-8","10.1109/LACLO54177.2021.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725169","computational thinking;Arduino;remote learning;robotic","COVID-19;Pandemics;Distance learning;Education;Programming;Cognition;Planning","","1","","0","IEEE","8 Mar 2022","","","IEEE","IEEE Conferences"
"Assessing Computational Thinking Pedagogy in Serious Games Through Questionnaires, Think-aloud Testing, and Automated Data Logging","J. R. Fanfarelli","Games and Emerging Media, Marist College, Poughkeepsie, NY, USA",2021 IEEE/ACIS 20th International Fall Conference on Computer and Information Science (ICIS Fall),"6 Dec 2021","2021","","","149","152","Computational thinking is an important skill for solving complex problems, including processes such as decomposition, pattern recognition, abstraction, and algorithmic design. Game-based learning has recently seen an increase in prevalence for teaching computational thinking, making games an important topic of study. However, there is currently no validated tool for assessing Computational Thinking (CT) that performs reliably across disciplines and age groups. In the absence of such a tool, this paper examines several software testing methods for the evaluation of CT pedagogy effectiveness within serious games. Namely, it makes recommendations for the application of standardized questionnaires, think-aloud testing, and automated data logging for evaluating games that promote CT learning. It concludes with a potential use case to demonstrate how the methods can be combined to achieve a granular and actionable understanding of a complex CT assessment problem and its causes.","","978-1-7281-7679-6","10.1109/ICISFall51598.2021.9627365","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9627365","serious games;game;gaming;computational thinking;algorithmic thinking;test;testing;assessment;development","Software testing;Information science;Bibliographies;Education;Games;Manuals;Tools","","1","","23","IEEE","6 Dec 2021","","","IEEE","IEEE Conferences"
"Introducing Computational Thinking Concept Learning in Building Cognitive Capacity and Character for Elementary Student","I. Yuliana; L. P. Octavia; E. Sudarmilah; M. Matahari","Informatics Engineering Education Department, Universitas Muhammadiyah Surakarta, Surakarta, Indonesia; Informatics Engineering Education Department, Universitas Muhammadiyah Surakarta, Surakarta, Indonesia; Informatics Department, Universitas Muhammadiyah Surakarta, Surakarta, Indonesia; Information Technology Education Department, Universitas Pendidikan Muhammadiyah Sorong, Sorong, Indonesia",2019 19th International Symposium on Communications and Information Technologies (ISCIT),"21 Nov 2019","2019","","","549","554","Computational thinking has become a interesting subject and important concept in education throughout the nation. Computational Thinking (CT) has been defined as an important skill as digital literacy that must be learned by next generation. Along with the need to make an agreed definition of CT many countries are still in the process of, or have not started, introducing CT into the curriculum at all levels of education. It was also found in Indonesia that Computer Science / Computing, which could be the most obvious place to teach CT, has not been the main subject in several schools. This research aim is to design an alternative CT learning media to study interestingly and effectively computational concept which consists of 4 elements, namely decomposition, abstraction, pattern recognition and algorithm. Research and Development followed by ADDIE development model (Analysis, Design, Development, Implementation and Evaluation) is used to capture the problem, identify the user need to be implemented in digital media. This learning media application product is equipped with an educational game based on computational thinking. The media has several features such as presentation of material and examples of problems and the solution, and small challenges in a games consisting of 3 stages. The subjects of this study were students of K-12. The data used for analysis was collected in several ways, including observation, questionnaire, pre-test and post-test in similar question. The result is the use of CT learning media is very helpful to improve students' understanding of CT in problem solving even in different topics.","2643-6175","978-1-7281-5009-3","10.1109/ISCIT.2019.8905149","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8905149","computational thinking;ICT;learning media","","","","","14","IEEE","21 Nov 2019","","","IEEE","IEEE Conferences"
"Research on Developing Computational Thinking of Middle School Students Based on Gamified Text Programming Teaching Activities","J. Liu; Y. Bai; X. Xia","Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China",2023 5th International Conference on Computer Science and Technologies in Education (CSTE),"29 Sep 2023","2023","","","175","179","With the coming of the digital intelligence era, contemporary middle school students should have the key literacy and ability to quickly adapt to the current social development. Computational thinking, as a critical problem-solving skill in the era of artificial intelligence, has also become a basic literacy for students to face the future. However, the traditional “duck and filler” teaching mode is ineffective in developing computational thinking skills, while the gamified learning approach allows learners to interact with games in an immersive way. Therefore, this study combines games and programming teaching, builds a teaching model of gamified text programming, and develops a series of programming courses. It can develop not only computational thinking skills and improve students' programming ability but also effectively avoid the limitations of traditional programming teaching.","","979-8-3503-2572-0","10.1109/CSTE59648.2023.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10261572","computational thinking;gamified teaching;text programming;teaching model","Codes;Computational modeling;Education;Games;Digital intelligence;Problem-solving;Artificial intelligence","","","","22","IEEE","29 Sep 2023","","","IEEE","IEEE Conferences"
"Research on the Current Situation of Computational Thinking Training in Primary School Information Technology Teaching -- Based on the Literature Analysis of CNKI","Y. Wang; J. Xu; J. Pan","College of Education Inner Mongolia Normal University, Hohhot; College of Education Inner Mongolia Normal University, Hohhot; College of Education Inner Mongolia Normal University, Hohhot",2023 5th International Conference on Computer Science and Technologies in Education (CSTE),"29 Sep 2023","2023","","","260","264","With the continuous development of information technology, computational thinking as a new thinking ability into people's vision. After the release of Information Technology Curriculum Standards for Senior High Schools (2017 Edition), computational thinking has been widely concerned. In this paper, academic papers collected in CNKI (China National Knowledge Network) from 2016 to 2021 are studied by the bibliometerization method. From the aspects of quantity, source, author, research distribution, and research hotspots, this paper analyzes the current situation and trend of computational thinking training in primary school IT teaching, so as to provide useful reference for relevant researchers.","","979-8-3503-2572-0","10.1109/CSTE59648.2023.00052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10261553","computational thinking;bibliometric method;primary school information technology","Training;Knowledge engineering;Computer science;Market research;Information age;Standards","","","","15","IEEE","29 Sep 2023","","","IEEE","IEEE Conferences"
"Research on the Instructional design of Computer Foundation Course of University Oriented by Computational Thinking","X. J. Li; S. Q. Liu; T. Pan; B. R. Chen; L. Zhao; M. M. Wang","Aviation University of Air Force, Jilin, Changchun, China; Aviation University of Air Force, Jilin, Changchun, China; Aviation University of Air Force, Jilin, Changchun, China; Aviation University of Air Force, Jilin, Changchun, China; Aviation University of Air Force, Jilin, Changchun, China; Aviation University of Air Force, Jilin, Changchun, China",2024 6th International Conference on Computer Science and Technologies in Education (CSTE),"18 Jul 2024","2024","","","328","331","The course “Computer Foundation of University” shoulders the mission of cultivating computational thinking and information literacy, and plays an important basic role in the general education curriculum system of undergraduate education. How to put computational thinking training into practice in teaching strategy design is problem worth researching. This paper gives an understanding of the nature, status and role of the course firstly. On this basis, instructional design research is carried out from the aspects of objective design, content design, teaching strategy design and evaluation design, etc. The purpose is to find feasible implementation strategies according to the characteristics and training objectives of the course, so as to realize the teaching objectives of the course and truly implement the training of computational thinking.","","979-8-3503-5180-4","10.1109/CSTE62025.2024.00068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10589932","computer foundation course;computational thinking;instructional design","Training;Computer science","","","","5","IEEE","18 Jul 2024","","","IEEE","IEEE Conferences"
"The research on online independent learning model based on computational thinking","X. Zhou","Computing Sciences Department, Sichuan Normal University, Chengdu, China",2011 International Conference on E-Business and E-Government (ICEE),"16 Jun 2011","2011","","","1","5","The online independent learning is one of the topics, which is currently focused by educational technology. Computational thinking is another important concept that international computer field widely concerned on. With the feature of online learning model, this paper builds Online Independent Learning Model Based on Computational Thinking (OILMCT). Comparing with the traditional teaching model, the OILMCT makes a great improvement in developing learners' self-building knowledge and the capability of innovative thinking. Not only improve the learning efficiency, but also make learners' computational thinking capability getting progress.","","978-1-4244-8694-6","10.1109/ICEBEG.2011.5881653","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5881653","computational thinking;online environment;independent learning","Computational modeling;Education;Mathematical model;Computers;Computer science;Learning systems;Computational efficiency","","","","7","IEEE","16 Jun 2011","","","IEEE","IEEE Conferences"
"Practical Exploration of Integrating Computational Thinking into University Computer Foundation Education","Z. He; H. Zhao","College of Information Science and Technology, Jinan University, Guangzhou, China; School of Foreign Language and International Business, Guangdong Mechanical and Electrical Polytechnic, Guangzhou, China","2019 IEEE International Conference on Engineering, Technology and Education (TALE)","15 Oct 2020","2019","","","1","6","Computational thinking is an important concept that is widely concerned by international computer community, and it is considered as an important way to carry out university computer education reform. This paper firstly analyzes the existing problems in university computer teaching for non-computer majors, and then it discusses a series of teaching practices that integrate computational thinking into university computer teaching, including: (1) Students are divided into different classes according to their computer proficiency; (2) We abandon the concept of “Narrow Instrumentalism”, and teach the most essential knowledge of computer foundation; (3) We propose the “data” as the mainline, and then reconstruct teaching content according to the mainline; (4) We also reconstruct experimental content with the mainline, and separate experimental teaching into a single course. The practices has proved that the teaching methods put forward in this paper yield good results, and it provides a new model for University Computer Foundation teaching, which aims at improving students’ computational thinking.","2470-6698","978-1-7281-2665-4","10.1109/TALE48000.2019.9225879","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9225879","computational thinking;university computer foundation;teaching reform;non-computer major","Education;Software;Instruments;Databases;Programming profession","","","","8","IEEE","15 Oct 2020","","","IEEE","IEEE Conferences"
"AlfaDatizando: a Data Visualization Platform to work Computational Thinking in Digital Humanities","L. A. Beatriz; A. Alejandro; F. Alejandro; H. Jimena","UNLP, Fac. de Informática, LIFIA, CICPBA, La Plata, Argentina; Escuela de Educación, Universidad de San Andrés, Universidad de Buenos, Aires CICPBA, Buenos Aires, Argentina; UNLP, Fac. de Informática, LIFIA, CICPBA, La Plata, Argentina; Escuela de Educación, Universidad de San Andrés, Buenos Aires, Argentina",2022 XVII Latin American Conference on Learning Technologies (LACLO),"20 Jan 2023","2022","","","1","6","Computational Thinking is one of the fundamental skills of the 21st century and will be a necessary part of all future work, so it is essential that children learn it in school. One way to work on Computational Thinking is through data visualization. This paper presents the motivation, design and implementation of a platform called AlfaDatizando, through which it is possible to work with data visualization activities to promote the skill of Computational Thinking in Digital Humanities. AlfaDatizando allows the creation, resolution, and feedback of data visualization activities without the need to use another platform. It also allows sharing didactic sequences and data sources with the educational community registered in the platform. AlfaDatizando is still in an early stage of development.","","978-1-6654-6521-2","10.1109/LACLO56648.2022.10013462","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10013462","Computational Thinking;Digital Humanities;Data Visualization;Educational Curriculum","Data visualization;Social networking (online);Blogs;Big Data;Visualization;Humanities;Silicon","","","","","IEEE","20 Jan 2023","","","IEEE","IEEE Conferences"
"Can computational thinking reduce marginalization in the future Internet?","P. Wentworth","Department of Computer Science, Rhodes University, South Africa",2010 ITU-T Kaleidoscope: Beyond the Internet? - Innovations for Future Networks and Services,"6 Jan 2011","2010","","","1","5","Maths is presently regarded as the key driver that underpins Science, Education and Technology (SET) skills. In spite of significant studies, investment and efforts, math skills and widespread enthusiasm for SET remain elusive. In South Africa's disadvantaged communities, poor quality maths teaching and poor maths performance, both legacies of past political engineering, further fuel marginalization. Computational thinking is a new characterization of some specific procedural thinking, abstraction, problem solving and organizational skills that are finding their way from computer science programs into other fields. The paper describes our refocus of content in BingBee, a SET skill-building kiosk project targeting disadvantaged communities. As we shift to emphasize computational thinking more explicitly, we speculate that these skills could complement, and perhaps eventually displace, some elements of maths as the dominant driver of SET. The confluence of better tools, open service interfaces, and the rapid spread of handsets and devices into marginalized communities is an opportunity to build more widespread computational thinking skills. This could in turn facilitate a future Internet which is more inclusive, and in which users are able to create their own services.","","978-1-4244-8272-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5682137","Computational thinking;problem solving;abstraction;cognitive skills;marginalized communities","Games;Internet;Computer science;Problem-solving;Educational institutions;Mathematics","","","","10","","6 Jan 2011","","","IEEE","IEEE Conferences"
"ACKNOWLEDGMENTS","P. J. Denning; M. Tedre",NA; NA,Computational Thinking,"","2019","","","xvii","xviii","Peter: Many thanks to Dorothy Denning, my wife, who listened to my many speeches about computing for nearly 50 years and kept me channeled in productive directions. Much appreciation to my friend Fernando Flores, for teaching me how to read history for the concerns that emerge from it and thus discern different stages of computational thinking over the centuries. To the founders of computing and computing education whom I met through ACM, including Eckert, Mauchly, Perlis, Newell, Simon, Forsythe, Conte, Wilkes, Hamming, Knuth, and Dijkstra. To my teachers at MIT who turned this electrical engineer into one of the first holders of a computer science degree, especially Fano, Corbato, Dennis, Saltzer, Scherr, and Zadeh. To my many colleagues in computer science and engineering over the years, too numerous to mention by name here, who engaged me in edifying conversations about computing.","","9780262353410","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8709322.pdf&bkn=8709327&pdfType=chapter","","","","","","","","9 May 2019","","","MIT Press","MIT Press eBook Chapters"
"Comparing computational thinking development assessment scores with software complexity metrics","J. Moreno-León; G. Robles; M. Román-González","Programamos.es Sevilla, Spain; Universidad Rey Juan Carlos Madrid, Spain; Universidad Nacional de Educación a Distancia Madrid, Spain",2016 IEEE Global Engineering Education Conference (EDUCON),"23 May 2016","2016","","","1040","1045","The development of computational thinking skills through computer programming is a major topic in education, as governments around the world are introducing these skills in the school curriculum. In consequence, educators and students are facing this discipline for the first time. Although there are many technologies that assist teachers and learners in the learning of this competence, there is a lack of tools that support them in the assessment tasks. This paper compares the computational thinking score provided by Dr. Scratch, a free/libre/open source software assessment tool for Scratch, with McCabe's Cyclomatic Complexity and Halstead's metrics, two classic software engineering metrics that are globally recognized as a valid measurement for the complexity of a software system. The findings, which prove positive, significant, moderate to strong correlations between them, could be therefore considered as a validation of the complexity assessment process of Dr. Scratch.","2165-9567","978-1-4673-8633-3","10.1109/EDUCON.2016.7474681","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7474681","computational thinking;Scratch;programming;assessment tools;Dr. Scratch;software metrics;complexity","Measurement;Complexity theory;Correlation;Vocabulary;Programming profession;Fitting","","46","1","25","IEEE","23 May 2016","","","IEEE","IEEE Conferences"
