ENTRYTYPE,ID,abstract,address,author,booktitle,doi,edition,editor,isbn,issn,journal,keywords,note,number,pages,publisher,series,title,url,volume,year
article,SMITH2023100616,"The article proposes a research agenda for computational empowerment for emerging technologies in the field of child–computer interaction (CCI) – in artificial intelligence (AI), machine learning (ML), the internet of things (IoT), augmented reality (AR), and virtual reality (VR). This research agenda includes three levels of operation for future studies: (1) participatory practice, capable of engaging teachers and students in co-developing and designing approaches for teaching and learning emerging technologies, (2) educational principles for integrating technological and societal aspects of emerging technologies, and (3) digital tools for engaging students in construction of and critical reflection on emerging technologies. The research agenda was developed from longitudinal studies of the respective emerging technologies in Danish K–12 education, participatory design research with in-service teachers, development of novel tools and technologies, and literature studies of current CCI research. The paper addresses current gaps in the CCI literature and contributes a coherent approach and guiding questions for future CCI research on computational empowerment for emerging technology in education.",,Rachel Charlotte Smith and Marie-Monique Schaper and Mariana Aki Tamashiro and Maarten {Van Mechelen} and Marianne Graves Petersen and Ole Sejer Iversen,,https://doi.org/10.1016/j.ijcci.2023.100616,,,,2212-8689,International Journal of Child-Computer Interaction,"Computational empowerment, Emerging technologies, Ethical and societal implications, Technology education, Teenagers",,,100616,,,A research agenda for computational empowerment for emerging technology education,https://www.sciencedirect.com/science/article/pii/S2212868923000533,38,2023
article,PALIATHANASIS2024101585,"Symmetric teleparallel f(Q)-gravity allows for the presence of a perfect fluid with a tilted velocity in the Kantowski–Sachs geometry. In this dipole model, we consider an ideal gas and we investigate the evolution of the physical parameters. The tilt parameter is constrained by the nonlinear function f(Q) through the non-diagonal equations of the field equations. We find that the dynamics always reduce to the vacuum solutions of STEGR. This includes the Kasner universe, when no cosmological term is introduced by the f(Q) function, and the isotropic de Sitter universe, where fQ plays the role of the cosmological constant. In the extreme tilt limit, the universe is consistently anisotropic and accelerated. However, the final solution matches that of STEGR.",,Andronikos Paliathanasis,,https://doi.org/10.1016/j.dark.2024.101585,,,,2212-6864,Physics of the Dark Universe,"Symmetric teleparallel, Non-metricity gravity, ()-gravity, Dipole cosmology, Dynamics",,,101585,,,Dipole cosmology in fQ-gravity,https://www.sciencedirect.com/science/article/pii/S2212686424001675,46,2024
article,WANG2024100646,"The study aims to develop a music-driven dance teaching game that enhances players' dance learning. By utilizing a multi-feature fusion strategy, the game creates dance movements inspired by music. The model effectively combines music and dance features to generate various dance sequences. In performance tests, the research model successfully matches the tempo and intensity of the music with the generated dance. Overall, this approach improves players' dance movement learning ability. The teaching effectiveness of the research method is significantly superior, with an average value of 95.23 points in the teaching evaluation. In terms of running time, for simple dances, the average generation time is 10 s; for ordinary categories of dances, the average generation time is 15 s; for complex dances, the average generation time is 17 s. The fluency of the generated dances is 97.21 %. The study's findings confirm the effectiveness of the research method. The game's use of multi-feature fusion algorithms allows for adaptive adjustments in difficulty and complexity based on the player's learning situation and ability level. This provides a more diverse and immersive gaming experience, while also presenting innovative ideas for future game development and teaching design.",,Fang Wang and Oswaldo Lorenzo Quiles and Jie Li,,https://doi.org/10.1016/j.entcom.2024.100646,,,,1875-9521,Entertainment Computing,"Play, Dance, Multi-featured integration strategies, Music-driven, Movement instruction",,,100646,,,Music-driven generative dance movement teaching game based on a multi-feature fusion strategy,https://www.sciencedirect.com/science/article/pii/S1875952124000144,50,2024
article,ANDERSEN2023100576,"Processes of computational empowerment necessarily involve changing the relationships of power between children, digital technologies, and social contexts. However, research into computational empowerment rarely explicates a theory of power nor reflects on the dynamics of power implicated in attempts at empowerment. The purpose of this article is thus to investigate the problem of power in computational empowerment. The method applied is one of empirical philosophy. The article utilizes three paradigmatic cases describing how the power of computational empowerment is a matter of situated knowledge and agency, an outcome of invisible work, and a question of ontological politics.",,Lars Bo Andersen and Oliver Alexander Tafdrup and Thilde Emilie Møller and Mads Middelboe Rehder and Vibeke Schrøder,,https://doi.org/10.1016/j.ijcci.2023.100576,,,,2212-8689,International Journal of Child-Computer Interaction,"Power, Computational empowerment, Situated agency, Infrastructure, Ontological politics, HCI",,,100576,,,The situated power of computational empowerment,https://www.sciencedirect.com/science/article/pii/S2212868923000132,36,2023
article,AKINYEMI2022e01242,"ABSTRACT
Electron surface dissipation and quantum-limited size tend to control the material properties of exterior plasmon oscillation as the size of metal nanoparticles goes into the nanoscale domain. The need to examine this characteristic behaviour and its potential becomes imperative. This study explores the effects of the damping constant of electrons and size quantum-based frequency-dependent dielectric function (FDDF) of small metallic materials using an elementary model of electrons in a confined box. The frequency-dependent dielectric function is employed to study quantum size impacts and damping constant in the optical spectra region. The quantum amended frequency-dependent dielectric function and the absorbing spectra of silver-cube geometry for different sizes by adding damping constant and without damping constant are critically examined. The findings reveal that when the damping constant effect is absent, the multiple crests emerge for the quantum-amended frequency-dependent dielectric function and absorbing spectra of the metallic materials, highlighting the electronic discretization levels in the tiny quantum-limited structure. While the damping constant is included, the multiple summits are hidden and vanish owing to a considerable widening of the structures independently. The change in the numerical results from the quantum case to the classical case for growing widths is further illustrated for both cases. The numerical results enhance our knowledge of damping constant dissipation and quantum limited-size impact in small-scaled plasmonic devices.",,Lateef Akinyemi and Sunday Oladejo and Stephen Ekwe and Agbotiname Lucky Imoize and Stephen Abiodun Ojo,,https://doi.org/10.1016/j.sciaf.2022.e01242,,,,2468-2276,Scientific African,"Damping constant, Frequency-dependent dielectric function (FDDF), Models, Surface Plasmon, Plasmonic devices",,,e01242,,,Effects of Damping Constant of Electron and Size on Quantum-Based Frequency-dependent Dielectric Function of Small Metallic Plasmonic Devices,https://www.sciencedirect.com/science/article/pii/S2468227622001491,16,2022
incollection,DASGUPTA2020554,"The focus of this article is computational creativity, which is concerned with the problem of understanding, theorizing, designing and constructing computational artifacts that manifest behavior which would be deemed ‘creative’ if exhibited by human beings. Historically, this problem is a derivative of the agenda of artificial intelligence (AI) and, thus, is a technological problem. However, as will be seen, even in the specifically technological realm of computational creativity issues pertaining to human creativity cannot be evaded since, at the very least, the criteria for judging and evaluating the creativity of computational artifacts will originate in the realm of human creativity.",Oxford,Subrata Dasgupta,Encyclopedia of Creativity (Third Edition),https://doi.org/10.1016/B978-0-12-809324-5.23765-6,Third Edition,Steven Pritzker and Mark Runco,978-0-12-815615-5,,,"Artifact, Artificer, Artificial intelligence, Computational creativity, Computational thinking, Creativity, Heuristics search, Historicity, Human creativity, Purposive evolution",,,554-559,Academic Press,,Technology: Computational Creativity,https://www.sciencedirect.com/science/article/pii/B9780128093245237656,,2020
article,KASONGO2023113,"In recent years, the spike in the amount of information transmitted through communication infrastructures has increased due to the advances in technologies such as cloud computing, vehicular networks systems, the Internet of Things (IoT), etc. As a result, attackers have multiplied their efforts for the purpose of rendering network systems vulnerable. Therefore, it is of utmost importance to improve the security of those network systems. In this study, an IDS framework using Machine Learning (ML) techniques is implemented. This framework uses different types of Recurrent Neural Networks (RNNs), namely, Long-Short Term Memory (LSTM), Gated Recurrent Unit (GRU) and Simple RNN. To assess the performance of the proposed IDS framework, the NSL-KDD and the UNSW-NB15 benchmark datasets are considered. Moreover, existing IDSs suffer from low test accuracy scores in detecting new attacks as the feature dimension grows. In this study, an XGBoost-based feature selection algorithm was implemented to reduce the feature space of each dataset. Following that process, 17 and 22 relevant attributes were picked from the UNSW-NB15 and NSL-KDD, respectively. The accuracy obtained through the test subsets was used as the main performance metric in conjunction with the F1-Score, the validation accuracy, and the training time (in seconds). The results showed that for the binary classification tasks using the NSL-KDD, the XGBoost-LSTM achieved the best performance with a test accuracy (TAC) of 88.13%, a validation accuracy (VAC) of 99.49% and a training time of 225.46 s. For the UNSW-NB15, the XGBoost-Simple-RNN was the most efficient model with a TAC of 87.07%. For the multiclass classification scheme, the XGBoost-LSTM achieved a TAC of 86.93% over the NSL-KDD and the XGBoost-GRU obtained a TAC of 78.40% over the UNSW-NB15 dataset. These results demonstrated that our proposed IDS framework performed optimally in comparison to existing methods.",,Sydney Mambwe Kasongo,,https://doi.org/10.1016/j.comcom.2022.12.010,,,,0140-3664,Computer Communications,"Machine learning, Feature selection, Intrusion detection, Feature extraction",,,113-125,,,A deep learning technique for intrusion detection system using a Recurrent Neural Networks based framework,https://www.sciencedirect.com/science/article/pii/S0140366422004601,199,2023
article,FRANCESCA2023756,"Mathematics offers a virtually infinite range of incomparably beautiful shapes and patterns that can be used in the production of design objects. In particular, the generation of a large number of patterns can be achieved by varying input parameters of reaction-diffusion models, which simulate the distribution of chemicals. These patterns can be used in the customization of objects whose prototypes are made through additive manufacturing (3D printers). This technique allows very complex shapes and unique pieces to be physicalized in a short period of time. This study highlighted the possibility of creating, through a visual script, a potentially infinite catalog of objects based on mathematical patterns, identified using a Grey Scott reaction-diffusion model, those pattern are mapped on a customizable target surface.",,Bertacchini Francesca and Beneduci Roberto and Bilotta Eleonora and Demarco Francesco and Pantano Pietro and Scuro Carmelo,,https://doi.org/10.1016/j.procs.2022.12.272,,,,1877-0509,Procedia Computer Science,"Infinite catalog, Parametric design, Mathematical Pattern, Reaction-diffusion model",4th International Conference on Industry 4.0 and Smart Manufacturing,,756-764,,,Mathematical pattern for parametric design: the case study of Grey-Scott cross diffusion model.,https://www.sciencedirect.com/science/article/pii/S187705092202350X,217,2023
article,KIM202348,"Purpose
Self-report of sensitive or stigmatized health states is often subject to social desirability and interviewer biases. To reduce such biases, we estimated the rate of sexually transmitted infections (STIs) using a list experiment.
Methods
This population-representative study was nested within the Dar es Salaam Urban Cohort Study, a Health and Demographic Surveillance System (HDSS) in the Ukonga ward of Dar es Salaam, Tanzania. Men and women aged ≥40years were randomly assigned to receive a list of either four control items (i.e., the control group) or four control items plus an additional item on having had a disease through sexual contacts in the past 12months (i.e., the treatment group). We calculated the mean difference in the total number of items to which respondents answered “yes” in the treatment versus control group and compared this prevalence estimate to the one measured by the direct question.
Results
A total of 2310 adults aged ≥40years were enrolled in the study: 32% were male and 48% were aged 40–49years. The estimated prevalence of having STIs in the past 12months was 17.8% (95% confidence interval [CI] 12.3–23.3) in the list experiment, almost 10 times higher than the estimated prevalence of 1.8% (95%CI 1.3–2.4) based on the direct question (P < .001). STI prevalence remained high after adjusting for age, the number of lifetime sex partners, alcohol consumption and smoking in multivariate linear regression (15.6%; 95% CI 7.3–23.9).
Conclusions
We found a substantially higher prevalence of STIs among older adults in urban Tanzania when we based our estimation on a list experiment rather than a direct question in a population-representative survey. List experiments should be considered to elimnate social desirability and interviewer biases in surveys of sensitive or stigmatized health states. The very high prevalence of STIs highlights the need for improved access to STI screening, prevention and treatment for older adults in urban Africa.",,Hae-Young Kim and Julia Rohr and Germana Henry Leyna and Japhet Killewo and Andrew Tomita and Frank Tanser and Till Bärnighausen,,https://doi.org/10.1016/j.annepidem.2023.05.001,,,,1047-2797,Annals of Epidemiology,"List experiment, Sexually transmitted diseases, Prevalence, Older adults, Tanzania",,,48-53,,,High prevalence of self-reported sexually transmitted infections among older adults in Tanzania: results from a list experiment in a population-representative survey,https://www.sciencedirect.com/science/article/pii/S1047279723000868,84,2023
article,TERZIEVA2024106,"STEM education aims to prepare students for their future jobs, providing authentic tasks and problems to solve. Usually, approaches to teaching STEM subjects are based on a constructivist learning theory that accentuates active, practical, and interactive learning approaches. Nowadays, the implementation of STEM education faces several logistical and pedagogical challenges, which can impact the effectiveness of STEM education programs. The conditions for applying information technologies in STEM education in Bulgarian schools and universities are presented. The paper proposes a conceptual model of the innovative STEM educational system, which includes personalization and optimization of the applied teaching methods.",,Valentina Terzieva and Elena Paunova-Hubenova and Savina Slavcheva,,https://doi.org/10.1016/j.ifacol.2024.07.134,,,,2405-8963,IFAC-PapersOnLine,"STEM education, STEM teaching approaches, STEM challenges, innovative teaching methods","22nd IFAC Conference on Technology, Culture and International Stability TECIS 2024",3,106-111,,,"Trends, Challenges, Opportunities, and Innovations in STEM Education",https://www.sciencedirect.com/science/article/pii/S2405896324002179,58,2024
