ENTRYTYPE,ID,abstract,address,author,booktitle,doi,edition,editor,isbn,issn,journal,keywords,note,number,pages,publisher,title,url,volume,year
incollection,CHAUHAN2023298,"Under a project-based learning environment, this effort created a professional development program that provided teachers training in mechatronics and robotics; immersion in collaborative research; a framework for standards-aligned lessons development; and experiences to cultivate entrepreneurial abilities and interact with industry engineers. Over its 3-year duration, the effort engendered experiential learning to enrich teachers' STEM experience, cultivate their familiarity with new concepts and skills, and foster a professional learning community. Teachers brought their learning to schools by implementing new lessons and encouraging students to participate in an entrepreneurial contest, promoting real-world STEM learning, and increasing student motivation to pursue STEM disciplines.",Oxford,Purvee Chauhan and Vikram Kapila,International Encyclopedia of Education (Fourth Edition),https://doi.org/10.1016/B978-0-12-818630-5.13021-0,Fourth Edition,Robert J Tierney and Fazal Rizvi and Kadriye Ercikan,978-0-12-818629-9,,,"5E instructional model, Educational robotics, Engineering research, Entrepreneurship, Mechatronics, Project-based learning, STEM education, Teacher professional development",,,298-311,Elsevier,Promoting engineering research with entrepreneurship and industry experiences: a teacher professional development program,https://www.sciencedirect.com/science/article/pii/B9780128186305130210,,2023
article,LIU2017300,"To tackle the problem of efficiently managing increasingly complex systems, simulation models have been widely used. This is because simulation is safer, less expensive, and faster than field implementation and experimenting. To achieve high fidelity and credibility in conducting prediction and exploration of the actual system with simulation models, a rigorous calibration and validation procedure should firstly be applied. However, one of the key issues in calibration is the acquisition of valid source information from the target system. The aim of this study is to develop a systematic method to automatically calibrate a general emergency department model with incomplete data. The simulation-based optimization was used to search for the best value of model parameters. Then we present a case study to particularly demonstrate the way to calibrate an agent-based model of an emergency department with real data scarcity. The case study indicates that the proposed method appears to be capable of properly calibrating and validating the simulation model with incomplete data.",,Zhengchun Liu and Dolores Rexachs and Francisco Epelde and Emilio Luque,,https://doi.org/10.1016/j.cie.2016.11.036,,,,0360-8352,Computers & Industrial Engineering,"Simulation-based optimization, Model calibration, Agent-based model, Emergency department",,,300-309,,A simulation and optimization based method for calibrating agent-based emergency department models under data scarcity,https://www.sciencedirect.com/science/article/pii/S0360835216304685,103,2017
incollection,BOONSTRA202185,"In this chapter, we will outline the critical steps necessary to building an authentic space-based STEM experience and emphasize the beneficial preparation these experiences will provide in shaping and adding needed practice for learners as they move forward in their career pathways. We will explain the authentic STEM learning environment, supply background, and the application of the framework of standards, provide a guide to best practices and lessons-learned, give examples of exemplary projects, and emphasize the importance of scholarly evaluation. Finally, we will show the need to create or identify “next step” authentic STEM connections for students to keep practicing and acquiring relevant knowledge and skills moving towards their career pathway.",,Sheri Klug Boonstra and Don Boonstra,Space Science and Public Engagement,https://doi.org/10.1016/B978-0-12-817390-9.00003-8,,Amy Paige Kaminski,978-0-12-817390-9,,,"21st century skills, Authentic science, Authentic STEM, Formal education, NGSS, Science education, Space science education, Workforce development",,,85-104,Elsevier,"Chapter 5 - Enabling Learning and Empowering Workforce Preparation Using Space-Based Authentic Experiences in Science, Technology, Engineering, and Mathematics",https://www.sciencedirect.com/science/article/pii/B9780128173909000038,,2021
article,WESTERBERG2022105473,"A limited body of work has examined the nature and scope of young children’s science-related activities outside of the school context, and thus there is little understanding or consensus regarding what comprises the home science environment (HSE; e.g., interactions, activities, resources) and how specific factors of the HSE relate to children’s science performance. The two primary goals of this study were to (a) examine the factor structure of a parent-report measure of home science interactions and (b) evaluate how these factors relate to the science core knowledge of young children from families with low incomes. A total of 125 families with children aged 3 to 5 years (52 girls) participated in the study. Children were assessed on a measure of science core knowledge, and parents completed a brief questionnaire on their home science interactions that included questions pertaining to both home science disciplinary core idea (DCI) engagement and home science and engineering practice (SEP) engagement. Findings revealed that although separating home science interactions into distinct DCI and SEP factors represented the data well, the best overall representation of home science interactions was a one-factor model that included only home DCI engagement items. In addition, home DCI engagement was significantly predictive of children’s science core knowledge over and above a large group of covariates, including children’s age, race/ethnicity, sex, and performance on math, executive function, and vocabulary tasks as well as their parents’ education.",,Lauren Westerberg and Sara A. Schmitt and Sarah H. Eason and David J. Purpura,,https://doi.org/10.1016/j.jecp.2022.105473,,,,0022-0965,Journal of Experimental Child Psychology,"Home science environment, Preschoolers, Parent engagement, STEM, Disciplinary core ideas, Science and engineering practices, Parent–child interactions",,,105473,,Home science interactions and their relation to children’s science core knowledge in preschool,https://www.sciencedirect.com/science/article/pii/S0022096522001023,222,2022
article,COURTNEYMUSTAPHI201977,"Radiometric dating methods are essential for developing geochronologies to study Late Quaternary environmental change and 210Pb dating is commonly used to produce age-depth models from recent (within 150 years) sediments and other geoarchives. The past two centuries are marked by rapid environmental socio-ecological changes frequently attributed to anthropogenic land-use activities, modified biogeochemical cycles, and climate change. Consequently, historical reconstructions over this recent time interval have high societal value because analyses of these datasets provide understanding of the consequences of environmental modifications, critical ecosystem thresholds, and to define desirable ranges of variation for management, restoration, and conservation. For this information to be used more broadly, for example to support land management decisions or to contribute data to regional analyses of ecosystem change, authors must report all of the useful age-depth model information. However, at present there are no guidelines for researchers on what information should be reported to ensure 210Pb data are fully disclosed, reproducible, and reusable; leading to a plethora of reporting styles, including inadequate reporting that reduces potential reusability and shortening the data lifecycle. For example, 64% of the publications in a literature review of 210Pb dated geoarchives did not include any presentation of age uncertainty estimates in modeled calendar ages used in age-depth models. Insufficient reporting of methods and results used in 210Pb dating geoarchives severely hampers reproducibility and data reusability, especially in analyses that make use of databased palaeoenvironmental data. Reproducibility of data is fundamental to further analyses of the number of palaeoenvironmental data and the spatial coverage of published geoarchives sites. We suggest, and justify, a set of minimum reporting guidelines for metadata and data reporting for 210Pb dates, including an IEDA (Interdisciplinary Earth Data Alliance), LiPD (Linked Paleo Data) and generic format data presentation templates, to contribute to improvements in data archiving standards and to facilitate the data requirements of researchers analyzing datasets of several palaeoenvironmental study sites. We analyse practices of methods, results and first order interpretation of 210Pb data and make recommendations to authors on effective data reporting and archiving to maximize the value of datasets. We provide empirical evidence from publications and practitioners to support our suggested reporting guidelines. These guidelines increase the scientific value of 210Pb by expanding its relevance in the data lifecycle. Improving quality and fidelity of environmental datasets broadens interdisciplinary use, lengthens the potential lifecycle of data products, and achieves requirements applicable for evidenced-based policy support.",,Colin J. {Courtney Mustaphi} and Janice Brahney and Marco A. Aquino-López and Simon Goring and Kiersten Orton and Alexandra Noronha and John Czaplewski and Quinn Asena and Sarah Paton and Johnny {Panga Brushworth},,https://doi.org/10.1016/j.quageo.2019.04.003,,,,1871-1014,Quaternary Geochronology,"Data curation, Geochronology, Lead-210, Metadata, Radiometric dating, Radionuclide, Reproducibility, Transparency",,,77-87,,Guidelines for reporting and archiving 210Pb sediment chronologies to improve fidelity and extend data lifecycle,https://www.sciencedirect.com/science/article/pii/S1871101418301249,52,2019
article,PETRI201768,"Educational games are assumed to be an effective and efficient instructional strategy for computing education. However, it is essential to systematically evaluate such games in order to obtain sound evidence of their impact. Thus, the objective of this article is to present the state of the art on how games for computing education are evaluated. Therefore, we performed a systematic literature review of a sample of 3617 articles from which 112 relevant articles have been identified, describing 117 studies on the evaluation of games for computing education. Based on these studies we analyzed how evaluations are defined (the analysis factors evaluated, research designs, evaluation models/methods used, kind of data collection instruments, etc.), how they have been executed (sample size and replications) and analyzed (data analysis methods used). As a result, we can confirm that most evaluations use a simple research design in which, typically, the game is used and afterwards subjective feedback is collected via questionnaires from the learners. The majority of the evaluations are run with small samples, without replication, using mostly qualitative methods for data analysis. We also observed that most studies do not use a well-defined evaluation model or method. This shows that there is a need for more rigorous evaluations as well as methodological support in order to assist game creators and instructors to improve such games as well as to systematically support decisions on when or how to include them within instructional units.",,Giani Petri and Christiane {Gresse von Wangenheim},,https://doi.org/10.1016/j.compedu.2017.01.004,,,,0360-1315,Computers & Education,"Evaluation, Educational game, Computing education, Systematic literature review, Computer science",,,68-90,,How games for computing education are evaluated? A systematic literature review,https://www.sciencedirect.com/science/article/pii/S0360131517300040,107,2017
article,DELAHERA2022105335,"There is growing interest in teaching computer science and programming skills in schools. Here we investigated the efficacy of peer tutoring, which is known to be a useful educational resource in other domains but never before has been examined in such a core aspect of applied logical thinking in children. We compared (a) how children (N = 42, age range = 7 years 1 month to 8 years 4 months) learn computer programming from an adult versus learning from a peer and (b) the effect of teaching a peer versus simply revising what has been learned. Our results indicate that children taught by a peer showed comparable overall performance—a combination of accuracy and response times—to their classmates taught by an adult. However, there was a speed–accuracy trade-off, and peer-taught children showed more exploratory behavior, with shorter response times at the expense of lower accuracy. In contrast, no tutor effects (i.e., resulting from teaching a peer) were found. Thus, our results provide empirical evidence in support of peer tutoring as a way to help teach computer programming to children. This could contribute to the promotion of a widespread understanding of how computers operate and how to shape them, which is essential to our values of democracy, plurality, and freedom.",,Diego P. {de la Hera} and María B. Zanoni and Mariano Sigman and Cecilia I. Calero,,https://doi.org/10.1016/j.jecp.2021.105335,,,,0022-0965,Journal of Experimental Child Psychology,"Computer programming, Teaching, Peer tutoring, Exploratory behavior, Learning by teaching, K-12 education",,,105335,,Peer tutoring of computer programming increases exploratory behavior in children,https://www.sciencedirect.com/science/article/pii/S0022096521002538,216,2022
article,WESTERBERG2021100981,"There is little empirical evidence on cross-domain relations with science and other academic domains, which contributes to a limited understanding of the development of early science and how to best support it. The purpose of this study was to examine multiple concurrent predictors of science core knowledge, including executive functioning (EF), vocabulary, literacy, math, and math language in preschool. This study overcomes the limitations of previous work exploring relations between individual predictors, by addressing potentially spurious relations due to acting as proxies for other variables. Data were collected from 86 preschool-aged children (36 female) from families with low incomes. Findings revealed that when EF, vocabulary, literacy, math, and math language were included in the same model as concurrent predictors of science, only vocabulary significantly predicted children’s science core knowledge. Findings from this study have potential implications for the refinement of early science skills and intervention development.",,Lauren Westerberg and Ellen Litkowski and Jennifer K. Finders and Hope K. Gerde and Robert J. Duncan and Sara A. Schmitt and David J. Purpura,,https://doi.org/10.1016/j.cogdev.2020.100981,,,,0885-2014,Cognitive Development,"Science, STEM, Preschoolers, Math, Literacy, Executive function",,,100981,,Concurrent predictors of science core knowledge in preschool,https://www.sciencedirect.com/science/article/pii/S0885201420301350,57,2021
article,ISMAILOVA2021332,"One of the aims of this work is to revise the known issues of how to obtain the value of the expression using an applicative computing system. Computation and/or symbolic transformations have undoubtedly become one of the dominant trends in modern computer science. In particular, this refers to the execution of the processes of inference of an object with given properties, which is studied with the formation of sets of equalities leading to a target computational model. At the same time, the mathematical theory of computation gets a target equational description, making the process of studying its properties and capabilities more suitable. A model structure based on the method of indexed expressions is developed and applied using the notions of evaluation mapping and assignments. As shown, this may not be considered as generic notion, but derived using the combinators. Thus, the semantics of computation can be derived from the construction of a combinator-as-process. This is the embedding into a system of combinators. A linking system of equalities between combinatorsl is established, which serving as a generic computational model. This allows us to look differently at the previous cognitive ideas of the semantics of computation disabling an evaluation map and assignments and enabling their replacement by a set of equalities between combinators.",,Larisa Ismailova and Viacheslav Wolfengagen and Sergey Kosikov,,https://doi.org/10.1016/j.procs.2021.06.058,,,,1877-0509,Procedia Computer Science,"information process, model structure, indexed expressions, cognitive model, combinator-as-process",2020 Annual International Conference on Brain-Inspired Cognitive Architectures for Artificial Intelligence: Eleventh Annual Meeting of the BICA Society,,332-340,,Equalities between Combinators to Evaluate Expressions,https://www.sciencedirect.com/science/article/pii/S1877050921013053,190,2021
article,TISZA2020100184,"There is a growing number of informal and non-formal learning activities worldwide related to STEM (Science, Technology, Engineering, Mathematics) curricular subject areas—particularly those involving coding and making. To better understand the general aim and content of such activities, we conducted a survey addressing highly experienced instructional designers and instructors of informal and non-formal science learning activities in nine European countries (N = 128). The goal of this paper is to investigate the relation between the gender of the activity leader experts, the target audience, the covered curricular subjects, the main goal, and the place of the activity. The results show that the gender and age of the participants are related to the covered curricular subjects and to the goal of the activity, and that the place of the activity is associated with all of the investigated dimensions. We introduce the patterns we identified that describe typical goals and the covered curricular subjects in relation to the participants’ gender and age along with patterns between the activity leader experts’ gender, the covered curricular subjects, and the main goal of the activity, as well as relationships between the studied dimensions and the place of the activity. Furthermore, we discuss the best practices and the bottlenecks of the activities, as well as detailed study findings regarding the revealed patterns, in addition to their implications and value for the informal and non-formal learning communities.",,Gabriella Tisza and Sofia Papavlasopoulou and Dimitra Christidou and Netta Iivari and Marianne Kinnula and Iro Voulgari,,https://doi.org/10.1016/j.ijcci.2020.100184,,,,2212-8689,International Journal of Child-Computer Interaction,"STEM, Informal learning, Non-formal learning, Age, Gender, Curricular subjects, Place of the activity",,,100184,,Patterns in informal and non-formal science learning activities for children–A Europe-wide survey study,https://www.sciencedirect.com/science/article/pii/S2212868920300167,25,2020
