ENTRYTYPE,ID,author,doi,editor,eprint,journal,note,number,pages,publisher,title,url,volume,year
article,doi:10.1080/00368555.2021.12293597,Umadevi Garimella and Nesrin Sahin,10.1080/00368555.2021.12293597,," 

https://doi.org/10.1080/00368555.2021.12293597


",The Science Teacher,,4,36--40,Routledge,Digging Deeper," 

https://doi.org/10.1080/00368555.2021.12293597


",88,2021
article,doi:10.1080/1046560X.2019.1710387,Marisa Castronova and Ellina Chernobilsky,10.1080/1046560X.2019.1710387,," 

https://doi.org/10.1080/1046560X.2019.1710387


",Journal of Science Teacher Education,,4,401--413,Routledge,Teachers’ Pedagogical Reflections on the Next Generation Science Standards," 

https://doi.org/10.1080/1046560X.2019.1710387


",31,2020
article,doi:10.1080/10494820.2022.2155839,Bin Wang and Ping-ping Li,10.1080/10494820.2022.2155839,," 

https://doi.org/10.1080/10494820.2022.2155839


",Interactive Learning Environments,,6,2633--2646,Routledge,Digital creativity in STEM education: the impact of digital tools and pedagogical learning models on the students’ creative thinking skills development," 

https://doi.org/10.1080/10494820.2022.2155839


",32,2024
article,doi:10.1080/24758779.2023.12318627,"Erica M. Staehling, Hannah R. Hiester and Barbara M. Shoplock",10.1080/24758779.2023.12318627,," 

https://doi.org/10.1080/24758779.2023.12318627


",Connected Science Learning,,2,12318627,Routledge,Using Connected Learning Principles to Foster Authentic STEM Research Experiences Remotely," 

https://doi.org/10.1080/24758779.2023.12318627


",5,2023
article,doi:10.1080/1389224X.2017.1296533,Martin Mulder,10.1080/1389224X.2017.1296533,," 

https://doi.org/10.1080/1389224X.2017.1296533


",The Journal of Agricultural Education and Extension,,2,99--102,Routledge,A Five-Component Future Competence (5CFC) Model," 

https://doi.org/10.1080/1389224X.2017.1296533


",23,2017
article,doi:10.1080/08993408.2018.1522858,"Katrina Falkner, Rebecca Vivian and Sally-Ann Williams",10.1080/08993408.2018.1522858,," 

https://doi.org/10.1080/08993408.2018.1522858


",Computer Science Education,,4,303--344,Routledge,An ecosystem approach to teacher professional development within computer science," 

https://doi.org/10.1080/08993408.2018.1522858


",28,2018
article,doi:10.1080/14759756.2017.1348779,Janis Jefferies,10.1080/14759756.2017.1348779,," 

https://doi.org/10.1080/14759756.2017.1348779


",TEXTILE,,1,2--7,Routledge,Introduction: Back to the Future," 

https://doi.org/10.1080/14759756.2017.1348779


",16,2018
article,doi:10.1080/07341512.2023.2251212,Michael Lachney and Madison C. Allen Kuyenga,10.1080/07341512.2023.2251212,," 

https://doi.org/10.1080/07341512.2023.2251212


",History and Technology,,2,156--175,Routledge,Irreplicability in methodology: embracing the historical contingencies of educational technology research during the 2020–2021 United States school year," 

https://doi.org/10.1080/07341512.2023.2251212


",39,2023
article,doi:10.1080/09540962.2020.1802891,Pan Suk Kim,10.1080/09540962.2020.1802891,," 

https://doi.org/10.1080/09540962.2020.1802891


",Public Money \& Management,,8,611--614,Routledge,New development: Competency assessment system and practice in government—the South Korean experience," 

https://doi.org/10.1080/09540962.2020.1802891


",40,2020
article,doi:10.1080/09720510.2022.2052447,"C. Srinivasan, K. Mohamed Jasim and R. Sridhar",10.1080/09720510.2022.2052447,," 

https://doi.org/10.1080/09720510.2022.2052447


",Journal of Statistics and Management Systems,,5,1269--1278,Taylor \& Francis,Measurement of D-M model on competitiveness of 3PL in Indian automobile industry through partial least square (PLS) estimation," 

https://doi.org/10.1080/09720510.2022.2052447


",25,2022
article,doi:10.1080/19434812.2021.12291666,Heather Pacheco-Guffrey,10.1080/19434812.2021.12291666,," 

https://doi.org/10.1080/19434812.2021.12291666


",Science and Children,,5,10--13,Routledge,Guest Editorial," 

https://doi.org/10.1080/19434812.2021.12291666


",58,2021
