ENTRYTYPE,ID,author,doi,eprint,journal,number,pages,publisher,title,url,volume,year
article,doi:10.1080/00368555.2020.12293506,"Patricia Bricker, James Ewing, Lisa K. Felske, Martha Inouye, Rhonda Kerr, Rebecca Kurson, Katherine Anna Mangione, Melissa Parks and Amy Leigh Rogers",10.1080/00368555.2020.12293506," 

https://doi.org/10.1080/00368555.2020.12293506


",The Science Teacher,6,44--51,Routledge,Outstanding Science Trade Books for Students 2020," 

https://doi.org/10.1080/00368555.2020.12293506


",87,2020
article,doi:10.1080/08872376.2020.12291323,"Patricia Bricker, James Ewing, Lisa K. Felske, Martha Inouye, Rhonda Kerr, Rebecca Kurson, Katherine Anna Mangione, Melissa Parks and Amy Leigh Rogers",10.1080/08872376.2020.12291323," 

https://doi.org/10.1080/08872376.2020.12291323


",Science Scope,6,68--75,Routledge,Outstanding Science Trade Books for Students K–12," 

https://doi.org/10.1080/08872376.2020.12291323


",43,2020
article,doi:10.1198/tas.2009.0024,Deborah Nolan and Duncan Temple Lang,10.1198/tas.2009.0024," 

https://doi.org/10.1198/tas.2009.0024


",The American Statistician,2,117--121,ASA Website,Comment," 

https://doi.org/10.1198/tas.2009.0024


",63,2009
article,doi:10.1080/00368121.2013.803011,Clare Valerie Bell and Arthur Louis Odom,10.1080/00368121.2013.803011," 

https://doi.org/10.1080/00368121.2013.803011


",Science Activities,3,73--83,Routledge,Understanding Current and Potential Consequences of Population Growth," 

https://doi.org/10.1080/00368121.2013.803011


",50,2013
article,doi:10.1080/10494820.2021.1919146,Hagit Meishar-Tal and Avital Kesler,10.1080/10494820.2021.1919146," 

https://doi.org/10.1080/10494820.2021.1919146


",Interactive Learning Environments,5,3071--3082,Routledge,“If I create a game I'll learn”: online game creation as a tool to promote learning skills of students with learning difficulties," 

https://doi.org/10.1080/10494820.2021.1919146


",31,2023
article,doi:10.1080/24758779.2017.12420471,Peggy Harris Willcuts and Cathleen Kennedy,10.1080/24758779.2017.12420471," 

https://doi.org/10.1080/24758779.2017.12420471


",Connected Science Learning,3,12420471,Routledge,Collaboratory = Collaborate + Laboratory," 

https://doi.org/10.1080/24758779.2017.12420471


",1,2017
article,doi:10.1080/08993408.2020.1788862,"Merijke Coenraad, Connor Hopcraft, Jane Jozefowicz, Diana Franklin, Jen Palmer and David Weintrop",10.1080/08993408.2020.1788862," 

https://doi.org/10.1080/08993408.2020.1788862


",Computer Science Education,3,400--429,Routledge,Helping teachers make equitable decisions: effects of the TEC Rubric on teachers’ evaluations of a computing curriculum," 

https://doi.org/10.1080/08993408.2020.1788862


",31,2021
article,doi:10.1080/10691898.2018.1541653,Allan J. Rossman and Nicholas J. Horton,10.1080/10691898.2018.1541653," 

https://doi.org/10.1080/10691898.2018.1541653


",Journal of Statistics Education,3,234--245,Taylor \& Francis,Interview With Nicholas J. Horton," 

https://doi.org/10.1080/10691898.2018.1541653


",26,2018
article,doi:10.1080/08993408.2022.2044672,"Jessica Vandenberg, Collin Lynch, Kristy Elizabeth Boyer and Eric Wiebe",10.1080/08993408.2022.2044672," 

https://doi.org/10.1080/08993408.2022.2044672


",Computer Science Education,3,429--457,Routledge,“I remember how to do it”: exploring upper elementary students’ collaborative regulation while pair programming using epistemic network analysis," 

https://doi.org/10.1080/08993408.2022.2044672


",33,2023
article,doi:10.1080/2331186X.2024.2332863,"Alexandra Vuyk, Maureen Montania, Liz Barrios and Montserrat Lobo",10.1080/2331186X.2024.2332863," 

https://doi.org/10.1080/2331186X.2024.2332863


",Cogent Education,1,2332863,Cogent OA,Gifted education in Paraguay: analyses from a learning-resource perspective," 

https://doi.org/10.1080/2331186X.2024.2332863


",11,2024
