ENTRYTYPE,ID,author,doi,editor,eprint,journal,number,pages,publisher,title,url,volume,year
article,doi:10.1080/08993408.2021.1877988,"Jody Clarke-Midura, Deborah Silvis, Jessica F. Shumway, Victor R. Lee and Joseph S. Kozlowski",10.1080/08993408.2021.1877988,," 

https://doi.org/10.1080/08993408.2021.1877988


",Computer Science Education,2,117--140,Routledge,Developing a kindergarten computational thinking assessment using evidence-centered design: the case of algorithmic thinking," 

https://doi.org/10.1080/08993408.2021.1877988


",31,2021
article,doi:10.1080/08993408.2020.1866933,"Deborah Fields, Debora Lui, Yasmin Kafai, Gayithri Jayathirtha, Justice Walker and Mia Shaw",10.1080/08993408.2020.1866933,," 

https://doi.org/10.1080/08993408.2020.1866933


",Computer Science Education,2,224--258,Routledge,Communicating about computational thinking: understanding affordances of portfolios for assessing high school students’ computational thinking and participation practices," 

https://doi.org/10.1080/08993408.2020.1866933


",31,2021
article,doi:10.1080/08993408.2021.1874221,"Brian D. Gane, Maya Israel, Noor Elagha, Wei Yan, Feiya Luo and James W. Pellegrino",10.1080/08993408.2021.1874221,," 

https://doi.org/10.1080/08993408.2021.1874221


",Computer Science Education,2,141--168,Routledge,Design and validation of learning trajectory-based assessments for computational thinking in upper elementary grades," 

https://doi.org/10.1080/08993408.2021.1874221


",31,2021
article,doi:10.1080/08993408.2022.2145549,"Ugur Kale, Jiangmei Yuan and Abhik Roy",10.1080/08993408.2022.2145549,," 

https://doi.org/10.1080/08993408.2022.2145549


",Computer Science Education,4,545--566,Routledge,Thinking processes in code.org: A relational analysis approach to computational thinking," 

https://doi.org/10.1080/08993408.2022.2145549


",33,2023
article,doi:10.1080/2331186X.2023.2222866,"Binti Muchsini,   Siswandari,   Gunarhadi and   Wiranto",10.1080/2331186X.2023.2222866,," 

https://doi.org/10.1080/2331186X.2023.2222866


",Cogent Education,1,2222866,Cogent OA,Promoting college students’ computational thinking: the use of constructionism-based accounting spreadsheets designing activities," 

https://doi.org/10.1080/2331186X.2023.2222866


",10,2023
article,doi:10.1080/03004279.2022.2150063,"Zetra Hainul Putra, Ramiati, Zufriady, Riyan Hidayat, Jismulatif, Neni Hermita and Urip Sulistiyo",10.1080/03004279.2022.2150063,," 

https://doi.org/10.1080/03004279.2022.2150063


",Education 3-13,0,1--11,Routledge,"Development of computational thinking tasks based on Riau Malay culture: a study of fifth-grade public school students in Pekanbaru, Indonesia"," 

https://doi.org/10.1080/03004279.2022.2150063


",0,2022
article,doi:10.1080/21532974.2019.1696641,"Ann D. Thompson, Denise L. Lindstrom and Denise A. Schmidt-Crawford",10.1080/21532974.2019.1696641,," 

https://doi.org/10.1080/21532974.2019.1696641


",Journal of Digital Learning in Teacher Education,1,4--5,Routledge,Computational Thinking: What Went Wrong?," 

https://doi.org/10.1080/21532974.2019.1696641


",36,2020
article,doi:10.1080/24758779.2023.12318620,Beth Murphy,10.1080/24758779.2023.12318620,," 

https://doi.org/10.1080/24758779.2023.12318620


",Connected Science Learning,1,12318620,Routledge,Computational Thinking and Why It Matters," 

https://doi.org/10.1080/24758779.2023.12318620


",5,2023
article,doi:10.1080/1046560X.2024.2375843,Heidi Cian and Alexandria Brasili,10.1080/1046560X.2024.2375843,," 

https://doi.org/10.1080/1046560X.2024.2375843


",Journal of Science Teacher Education,0,1--23,Routledge,Rural Elementary Teachers’ Computational Thinking Self-Efficacy Through Community-Based Citizen Science," 

https://doi.org/10.1080/1046560X.2024.2375843


",0,2024
article,doi:10.1080/1046560X.2021.1970088,"Erin Peters-Burton, Peter Jacob Rich, Anastasia Kitsantas, Laura Laclede and Stephanie M. Stehle",10.1080/1046560X.2021.1970088,," 

https://doi.org/10.1080/1046560X.2021.1970088


",Journal of Science Teacher Education,6,598--620,Routledge,High School Science Teacher Use of Planning Tools to Integrate Computational Thinking," 

https://doi.org/10.1080/1046560X.2021.1970088


",33,2022
article,doi:10.1080/10494820.2018.1534245,Gary Ka-Wai Wong and Ho-Yin Cheung,10.1080/10494820.2018.1534245,," 

https://doi.org/10.1080/10494820.2018.1534245


",Interactive Learning Environments,4,438--450,Routledge,Exploring children’s perceptions of developing twenty-first century skills through computational thinking and programming," 

https://doi.org/10.1080/10494820.2018.1534245


",28,2020
article,doi:10.1080/10494820.2019.1573199,Wanli Xing,10.1080/10494820.2019.1573199,," 

https://doi.org/10.1080/10494820.2019.1573199


",Interactive Learning Environments,3,414--427,Routledge,Large-scale path modeling of remixing to computational thinking," 

https://doi.org/10.1080/10494820.2019.1573199


",29,2021
article,doi:10.1080/0144929X.2016.1188415,"SooJin Jun, SeonKwan Han and SooHwan Kim",10.1080/0144929X.2016.1188415,," 

https://doi.org/10.1080/0144929X.2016.1188415


",Behaviour \& Information Technology,1,43--53,Taylor \& Francis,Effect of design-based learning on improving computational thinking," 

https://doi.org/10.1080/0144929X.2016.1188415


",36,2017
article,doi:10.1080/10494820.2019.1674883,"Breanne K. Litts, Whitney E. Lewis and Chase K. Mortensen",10.1080/10494820.2019.1674883,," 

https://doi.org/10.1080/10494820.2019.1674883


",Interactive Learning Environments,3,302--315,Routledge,Engaging youth in computational thinking practices through designing place-based mobile games about local issues," 

https://doi.org/10.1080/10494820.2019.1674883


",28,2020
article,doi:10.1080/2331186X.2023.2191751,"Berenice Alfaro-Ponce, Azeneth Patiño and Jorge Sanabria-Z",10.1080/2331186X.2023.2191751,," 

https://doi.org/10.1080/2331186X.2023.2191751


",Cogent Education,1,2191751,Cogent OA,Components of computational thinking in citizen science games and its contribution to reasoning for complexity through digital game-based learning: A framework proposal," 

https://doi.org/10.1080/2331186X.2023.2191751


",10,2023
article,doi:10.1080/12460125.2021.1943880,Samrat Gupta and Amit Anand Tiwari,10.1080/12460125.2021.1943880,," 

https://doi.org/10.1080/12460125.2021.1943880


",Journal of Decision Systems,4,433--450,Taylor \& Francis,A design-based pedagogical framework for developing computational thinking skills," 

https://doi.org/10.1080/12460125.2021.1943880


",31,2022
