ENTRYTYPE,ID,author,doi,eprint,journal,note,number,pages,publisher,title,url,volume,year
article,doi:10.1080/08993408.2014.952500,Craig S. Miller,10.1080/08993408.2014.952500," 

https://doi.org/10.1080/08993408.2014.952500


",Computer Science Education,,2-3,123--152,Routledge,Metonymy and reference-point errors in novice programming," 

https://doi.org/10.1080/08993408.2014.952500


",24,2014
article,doi:10.1080/10494820.2023.2194326,Tyler S. Love,10.1080/10494820.2023.2194326," 

https://doi.org/10.1080/10494820.2023.2194326


",Interactive Learning Environments,,8,3948--3967,Routledge,Examining middle school students’ attitudes toward computing after participating in a physical computing unit," 

https://doi.org/10.1080/10494820.2023.2194326


",32,2024
article,doi:10.1080/02635143.2022.2121693,"Yi-Chun Chen, Hsin-Kai Wu and Ching-Ting Hsin",10.1080/02635143.2022.2121693," 

https://doi.org/10.1080/02635143.2022.2121693


",Research in Science \& Technological Education,,3,658--677,Routledge,A systematic review of assessments for young children’s scientific and engineering practices," 

https://doi.org/10.1080/02635143.2022.2121693


",42,2024
article,doi:10.1080/02635143.2022.2103108,Berit Bungum and Erik Mogstad,10.1080/02635143.2022.2103108," 

https://doi.org/10.1080/02635143.2022.2103108


",Research in Science \& Technological Education,,2,450--466,Routledge,Building and programming a weather station: Teachers’ views on values and challenges in a comprehensive STEM project," 

https://doi.org/10.1080/02635143.2022.2103108


",42,2024
article,doi:10.1080/23311916.2024.2322814,"Joy Ajayi, Emmanuel Adetiba, Ayodele H. Ifijeh, Abdultaofeek Abayomi, John Wejin, Surendra Thakur and Sibusiso Moyo",10.1080/23311916.2024.2322814," 

https://doi.org/10.1080/23311916.2024.2322814


",Cogent Engineering,,1,2322814,Cogent OA,LogicHouse-v1: a digital game-based learning tool for enhanced teaching of digital electronics in higher education institutions," 

https://doi.org/10.1080/23311916.2024.2322814


",11,2024
article,doi:10.1080/10494820.2023.2212709,"YungYu Zhuang, Yu-Hsuan Lin, Mahesh Liyanawatta, Andito Haryo Saputro, Yuniati Dwi Utami and Jen-Hang Wang",10.1080/10494820.2023.2212709," 

https://doi.org/10.1080/10494820.2023.2212709


",Interactive Learning Environments,,0,1--14,Routledge,An interactive programming learning environment supporting paper computing and immediate evaluation for making thinking visible and traceable," 

https://doi.org/10.1080/10494820.2023.2212709


",0,2023
article,doi:10.1080/26939169.2021.1900759,"Andrew Zieffler, Nicola Justice, Robert delMas and Michael D. Huberty",10.1080/26939169.2021.1900759," 

https://doi.org/10.1080/26939169.2021.1900759


",Journal of Statistics and Data Science Education,,1,131--147,Taylor \& Francis,The Use of Algorithmic Models to Develop Secondary Teachers’ Understanding of the Statistical Modeling Process," 

https://doi.org/10.1080/26939169.2021.1900759


",29,2021
article,doi:10.1080/0144929X.2019.1711452,"Chen Chen, Gerhard Sonnert, Philip M. Sadler and David J. Malan",10.1080/0144929X.2019.1711452," 

https://doi.org/10.1080/0144929X.2019.1711452


",Behaviour \& Information Technology,,6,565--577,Taylor \& Francis,Foreseeing the endgame: who are the students who take the final exam at the beginning of a MOOC?," 

https://doi.org/10.1080/0144929X.2019.1711452


",40,2021
article,doi:10.1080/13691457.2021.1882394,"Eva María Olmedo-Moreno, Jorge Expósito López, José Javier Romero-Díaz de la Guardia, María del Carmen Olmos-Gómez, Micaela Sánchez-Martín and Ramón Chacón-Cuberos",10.1080/13691457.2021.1882394," 

https://doi.org/10.1080/13691457.2021.1882394


",European Journal of Social Work,,4,681--695,Routledge,Academic self-efficacy and future work skills in unaccompanied foreign minors: structural equation analysis according to residence time," 

https://doi.org/10.1080/13691457.2021.1882394


",25,2022
article,doi:10.1080/00368148.2024.2340790,Ashley Lewis Presser and Jessica Mercer Young,10.1080/00368148.2024.2340790," 

https://doi.org/10.1080/00368148.2024.2340790


",Science and Children,,3,25--33,Routledge,Preschool Data Scientists," 

https://doi.org/10.1080/00368148.2024.2340790


",61,2024
article,doi:10.1080/00220671.2022.2074946,"Lin Wang, Donglin Shi, Fengji Geng, Xiaoxin Hao, Fu Chanjuan and Yan Li",10.1080/00220671.2022.2074946," 

https://doi.org/10.1080/00220671.2022.2074946


",The Journal of Educational Research,,2,133--145,Routledge,Effects of cognitive control strategies on coding learning outcomes in early childhood," 

https://doi.org/10.1080/00220671.2022.2074946


",115,2022
article,doi:10.1080/07370008.2022.2157418,Bertrand Schneider and Tonya Bryant,10.1080/07370008.2022.2157418," 

https://doi.org/10.1080/07370008.2022.2157418


",Cognition and Instruction,,1,26--55,Routledge,Using Mobile Dual Eye-Tracking to Capture Cycles of Collaboration and Cooperation in Co-located Dyads," 

https://doi.org/10.1080/07370008.2022.2157418


",42,2024
article,doi:10.1080/24758779.2023.12318611,Claudia McLaughlin Ludwig,10.1080/24758779.2023.12318611," 

https://doi.org/10.1080/24758779.2023.12318611


",Connected Science Learning,,5,12318611,Routledge,Heat Maps as a Fun and Instructive Way to Gauge Student Perceptions on Skill Development," 

https://doi.org/10.1080/24758779.2023.12318611


",5,2023
article,doi:10.1080/0020739X.2019.1648892,"Chantal Buteau, Ghislaine Gueudet, Eric Muller, Joyce Mgombelo and Ana Isabel Sacristán",10.1080/0020739X.2019.1648892," 

https://doi.org/10.1080/0020739X.2019.1648892


",International Journal of Mathematical Education in Science and Technology,,7,1020--1041,Taylor \& Francis,University students turning computer programming into an instrument for ‘authentic’ mathematical work," 

https://doi.org/10.1080/0020739X.2019.1648892


",51,2020
