ENTRYTYPE,ID,author,doi,eprint,journal,number,pages,publisher,title,url,volume,year
article,doi:10.1080/1554480X.2022.2065997,Hanaa Ouda Khadri Ahmed,10.1080/1554480X.2022.2065997," 

https://doi.org/10.1080/1554480X.2022.2065997


",Pedagogies: An International Journal,3,450--472,Routledge,Exploring possible futures of makerspaces as an important basic component of K-12 education," 

https://doi.org/10.1080/1554480X.2022.2065997


",18,2023
article,doi:10.1080/17512786.2018.1463167,Bahareh R. Heravi,10.1080/17512786.2018.1463167," 

https://doi.org/10.1080/17512786.2018.1463167


",Journalism Practice,3,349--366,Routledge,3Ws of Data Journalism Education," 

https://doi.org/10.1080/17512786.2018.1463167


",13,2019
article,doi:10.1080/00461520.2014.1002924,"Gale M. Sinatra, Benjamin C. Heddy and Doug Lombardi",10.1080/00461520.2014.1002924," 

https://doi.org/10.1080/00461520.2014.1002924


",Educational Psychologist,1,1--13,Routledge,The Challenges of Defining and Measuring Student Engagement in Science," 

https://doi.org/10.1080/00461520.2014.1002924


",50,2015
article,doi:10.1080/17439884.2021.1901114,Bruno de Paula,10.1080/17439884.2021.1901114," 

https://doi.org/10.1080/17439884.2021.1901114


","Learning, Media and Technology",4,435--450,Routledge,"Reflexivity, methodology and contexts in participatory digital media research: making games with Latin American youth in London"," 

https://doi.org/10.1080/17439884.2021.1901114


",46,2021
article,doi:10.1080/17512786.2019.1585198,"Shangyuan Wu, Edson C. Tandoc Jr. and Charles T. Salmon",10.1080/17512786.2019.1585198," 

https://doi.org/10.1080/17512786.2019.1585198


",Journalism Practice,10,1238--1254,Routledge,When Journalism and Automation Intersect: Assessing the Influence of the Technological Field on Contemporary Newsrooms," 

https://doi.org/10.1080/17512786.2019.1585198


",13,2019
article,doi:10.1080/08993408.2023.2224135,Zhanxia Yang and Marina Bers,10.1080/08993408.2023.2224135," 

https://doi.org/10.1080/08993408.2023.2224135


",Computer Science Education,0,1--22,Routledge,Examining Gender Difference in the Use of ScratchJr in a Programming Curriculum for First Graders," 

https://doi.org/10.1080/08993408.2023.2224135


",0,2023
article,doi:10.1080/09500693.2017.1351650,Bing Wei and Xiaoxiao Li,10.1080/09500693.2017.1351650," 

https://doi.org/10.1080/09500693.2017.1351650


",International Journal of Science Education,13,1775--1794,Routledge,Exploring science teachers’ perceptions of experimentation: implications for restructuring school practical work," 

https://doi.org/10.1080/09500693.2017.1351650


",39,2017
article,doi:10.1080/09500693.2018.1494395,"T.E. Vossen, I. Henze, R.C.A. Rippe, J.H. Van Driel and M.J. De Vries",10.1080/09500693.2018.1494395," 

https://doi.org/10.1080/09500693.2018.1494395


",International Journal of Science Education,13,1629--1652,Routledge,Attitudes of secondary school students towards doing research and design activities," 

https://doi.org/10.1080/09500693.2018.1494395


",40,2018
article,doi:10.1080/09585176.2015.1128346,"Brian Creese, Alvaro Gonzalez and Tina Isaacs",10.1080/09585176.2015.1128346," 

https://doi.org/10.1080/09585176.2015.1128346


",The Curriculum Journal,1,5--23,Routledge,Comparing international curriculum systems: the international instructional systems study," 

https://doi.org/10.1080/09585176.2015.1128346


",27,2016
article,doi:10.1080/15391523.2024.2399270,"Jean J. Ryoo, Michelle Choi, Wei Wei, Jacqualyn Blizzard-Caron, Ryan Clarke, Lillian Kohn and Daniel Voloch",10.1080/15391523.2024.2399270," 

https://doi.org/10.1080/15391523.2024.2399270


",Journal of Research on Technology in Education,0,1--15,Routledge,“I just hope that I can change the world”: supporting student agency in CS for All," 

https://doi.org/10.1080/15391523.2024.2399270


",0,2024
article,doi:10.1080/17439884.2021.1977948,Lina Rahm,10.1080/17439884.2021.1977948," 

https://doi.org/10.1080/17439884.2021.1977948


","Learning, Media and Technology",1,6--24,Routledge,"Education, automation and AI: a genealogy of alternative futures"," 

https://doi.org/10.1080/17439884.2021.1977948


",48,2023
article,doi:10.1080/09588221.2018.1517125,"Juan Yang, Michael S. C. Thomas, Xiaofei Qi and Xuan Liu",10.1080/09588221.2018.1517125," 

https://doi.org/10.1080/09588221.2018.1517125


",Computer Assisted Language Learning,4,366--397,Routledge,Using an ANN-based computational model to simulate and evaluate Chinese students’ individualized cognitive abilities important in their English acquisition," 

https://doi.org/10.1080/09588221.2018.1517125


",32,2019
article,doi:10.1080/15235882.2018.1451790,Esther Garza and María Guadalupe Arreguín-Anderson,10.1080/15235882.2018.1451790," 

https://doi.org/10.1080/15235882.2018.1451790


",Bilingual Research Journal,2,101--116,Routledge,Translanguaging: Developing scientific inquiry in a dual language classroom," 

https://doi.org/10.1080/15235882.2018.1451790


",41,2018
article,doi:10.1080/15391523.2024.2402359,"Dolores D. Lopez, Susan Yonezawa, Seaera Juarez and Ericka Tapia",10.1080/15391523.2024.2402359," 

https://doi.org/10.1080/15391523.2024.2402359


",Journal of Research on Technology in Education,0,1--18,Routledge,Computer science for English learners: supporting teacher learning and improved practice to engage multilinguals in AP computer science principles," 

https://doi.org/10.1080/15391523.2024.2402359


",0,2024
article,doi:10.1080/2331186X.2023.2189889,"Timur Sadykov, Gulmira Kokibasova, Yelena Minayeva, Aliyash Ospanova and Maral Kasymova",10.1080/2331186X.2023.2189889," 

https://doi.org/10.1080/2331186X.2023.2189889


",Cogent Education,1,2189889,Cogent OA,A systematic review of programmed learning approach in science education," 

https://doi.org/10.1080/2331186X.2023.2189889


",10,2023
article,doi:10.1080/1046560X.2017.1389223,"Laura Zangori, Patricia J. Friedrichsen, Eric Wulff and Andrew J. Womack",10.1080/1046560X.2017.1389223," 

https://doi.org/10.1080/1046560X.2017.1389223


",Journal of Science Teacher Education,7,590--608,Routledge,Using the Practice of Modeling to Support Preservice Teachers’ Reflection on the Process of Teaching and Learning," 

https://doi.org/10.1080/1046560X.2017.1389223


",28,2017
