ENTRYTYPE,ID,author,doi,eprint,journal,number,pages,publisher,title,url,volume,year,note,editor
article,doi:10.1080/21532974.2019.1694381,"Glen Bull, Joe Garofalo and N. Rich Hguyen",10.1080/21532974.2019.1694381," 

https://doi.org/10.1080/21532974.2019.1694381


",Journal of Digital Learning in Teacher Education,1,6--18,Routledge,Thinking about computational thinking," 

https://doi.org/10.1080/21532974.2019.1694381


",36,2020,,
article,doi:10.1080/08993408.2021.1874229,"David Weintrop, Shandra Morehouse and Mega Subramaniam",10.1080/08993408.2021.1874229," 

https://doi.org/10.1080/08993408.2021.1874229


",Computer Science Education,2,290--311,Routledge,Assessing computational thinking in libraries," 

https://doi.org/10.1080/08993408.2021.1874229


",31,2021,,
article,doi:10.1080/00933104.2021.2003276,"Meghan McGlinn Manfra, Thomas C. Hammond and Robert M. Coven",10.1080/00933104.2021.2003276," 

https://doi.org/10.1080/00933104.2021.2003276


",Theory \& Research in Social Education,2,255--296,Routledge,Assessing computational thinking in the social studies," 

https://doi.org/10.1080/00933104.2021.2003276


",50,2022,,
article,doi:10.1080/08993408.2021.1947642,"Frederick J. Poole, Jody Clarke-Midura, Melissa Rasmussen, Umar Shehzad and Victor R. Lee",10.1080/08993408.2021.1947642," 

https://doi.org/10.1080/08993408.2021.1947642


",Computer Science Education,4,449--475,Routledge,Tabletop games designed to promote computational thinking," 

https://doi.org/10.1080/08993408.2021.1947642


",32,2022,,
article,doi:10.1080/00377996.2020.1749017,Ismail Güven and Yasemin Gulbahar,10.1080/00377996.2020.1749017," 

https://doi.org/10.1080/00377996.2020.1749017


",The Social Studies,5,234--248,Routledge,Integrating Computational Thinking into Social Studies," 

https://doi.org/10.1080/00377996.2020.1749017


",111,2020,,
article,doi:10.1080/15391523.2020.1771232,"Peter J. Rich, Ross A. Larsen and Stacie L. Mason",10.1080/15391523.2020.1771232," 

https://doi.org/10.1080/15391523.2020.1771232


",Journal of Research on Technology in Education,3,296--316,Routledge,Measuring teacher beliefs about coding and computational thinking," 

https://doi.org/10.1080/15391523.2020.1771232


",53,2021,,
article,doi:10.1080/10494820.2019.1612448,"José Antonio Rodríguez-Martínez, José Antonio González-Calero and José Manuel Sáez-López",10.1080/10494820.2019.1612448," 

https://doi.org/10.1080/10494820.2019.1612448


",Interactive Learning Environments,3,316--327,Routledge,Computational thinking and mathematics using Scratch: an experiment with sixth-grade students," 

https://doi.org/10.1080/10494820.2019.1612448


",28,2020,,
article,doi:10.1080/1475939X.2023.2184857,"Hayat Alajlan, Reem Alebaikan and Ahmad Almassaad",10.1080/1475939X.2023.2184857," 

https://doi.org/10.1080/1475939X.2023.2184857


","Technology, Pedagogy and Education",3,337--349,Routledge,Computational thinking in K–12 computer education: appropriate pedagogy," 

https://doi.org/10.1080/1475939X.2023.2184857


",32,2023,,
article,doi:10.1080/08993408.2024.2365566,"Aino Ukkonen, Katarina Pajchel and Louise Mifsud",10.1080/08993408.2024.2365566," 

https://doi.org/10.1080/08993408.2024.2365566


",Computer Science Education,0,1--26,Routledge,Teachers’ understanding of assessing computational thinking," 

https://doi.org/10.1080/08993408.2024.2365566


",0,2024,,
article,doi:10.1080/15391523.2024.2398520,"Merijke Coenraad, Alessandra Rangel and Kyle Dunbar",10.1080/15391523.2024.2398520," 

https://doi.org/10.1080/15391523.2024.2398520


",Journal of Research on Technology in Education,0,1--17,Routledge,Utilizing a computational thinking engagement inventory to support inclusive computational thinking pathways," 

https://doi.org/10.1080/15391523.2024.2398520


",0,2024,,
